Month,School,Grade,Regular Program,Bilingual Served,Spec. Ed. Served,Male,Female,Non-Binary,Total Student Count,P223 Total Count,P223 Total FTE
2020-01,Ballard,9,356.0,4.0,53.0,221.0,189.0,2.0,412.0,412.0,410.01
2020-01,Ballard,10,381.0,8.0,43.0,232.0,199.0,0.0,431.0,431.0,426.98
2020-01,Ballard,11,436.0,10.0,61.0,270.0,232.0,1.0,503.0,485.0,451.09
2020-01,Ballard,12,446.0,15.0,37.0,259.0,235.0,1.0,495.0,453.0,397.1
2020-01,Cleveland STEM,9,195.0,17.0,27.0,121.0,107.0,1.0,229.0,229.0,229.0
2020-01,Cleveland STEM,10,204.0,15.0,14.0,133.0,98.0,0.0,231.0,231.0,231.0
2020-01,Cleveland STEM,11,181.0,25.0,25.0,109.0,113.0,0.0,222.0,210.0,170.48
2020-01,Cleveland STEM,12,195.0,16.0,23.0,124.0,105.0,0.0,229.0,194.0,164.51
2020-01,Franklin,9,223.0,41.0,32.0,131.0,149.0,0.0,280.0,280.0,279.66
2020-01,Franklin,10,212.0,77.0,35.0,135.0,173.0,0.0,308.0,308.0,307.86
2020-01,Franklin,11,237.0,64.0,42.0,151.0,170.0,0.0,321.0,314.0,278.04
2020-01,Franklin,12,211.0,65.0,26.0,140.0,155.0,0.0,295.0,265.0,232.88
2020-01,Garfield,9,343.0,27.0,41.0,201.0,201.0,0.0,402.0,402.0,400.55
2020-01,Garfield,10,369.0,31.0,41.0,233.0,198.0,1.0,432.0,432.0,429.51
2020-01,Garfield,11,439.0,26.0,30.0,231.0,254.0,0.0,485.0,441.0,375.63
2020-01,Garfield,12,408.0,25.0,21.0,215.0,233.0,0.0,448.0,350.0,299.26
2020-01,Lincoln,9,360.0,6.0,34.0,222.0,177.0,1.0,400.0,400.0,399.69
2020-01,Lincoln,10,167.0,7.0,17.0,105.0,84.0,0.0,189.0,189.0,188.5
2020-01,Roosevelt,9,362.0,4.0,48.0,221.0,191.0,1.0,413.0,413.0,411.82
2020-01,Roosevelt,10,376.0,12.0,39.0,218.0,203.0,1.0,422.0,422.0,420.0
2020-01,Roosevelt,11,483.0,8.0,31.0,260.0,259.0,1.0,520.0,492.0,452.59
2020-01,Roosevelt,12,410.0,9.0,34.0,216.0,232.0,0.0,448.0,398.0,352.25
2020-01,Chief Sealth International,9,231.0,55.0,67.0,175.0,162.0,0.0,337.0,337.0,336.94
2020-01,Chief Sealth International,10,172.0,52.0,48.0,124.0,129.0,0.0,253.0,253.0,252.93
2020-01,Chief Sealth International,11,193.0,33.0,43.0,142.0,116.0,0.0,258.0,225.0,191.43
2020-01,Chief Sealth International,12,170.0,48.0,37.0,117.0,129.0,0.0,246.0,201.0,159.73
2020-01,West Seattle,9,267.0,10.0,32.0,162.0,142.0,0.0,304.0,304.0,301.52
2020-01,West Seattle,10,219.0,11.0,32.0,131.0,125.0,0.0,256.0,256.0,255.41
2020-01,West Seattle,11,245.0,8.0,31.0,142.0,140.0,0.0,282.0,262.0,232.7
2020-01,West Seattle,12,217.0,16.0,39.0,132.0,132.0,1.0,265.0,213.0,178.62
2020-01,Ingraham,9,285.0,34.0,54.0,187.0,174.0,1.0,362.0,362.0,361.27
2020-01,Ingraham,10,308.0,35.0,34.0,190.0,182.0,0.0,372.0,372.0,370.73
2020-01,Ingraham,11,295.0,33.0,42.0,191.0,165.0,2.0,358.0,341.0,300.03
2020-01,Ingraham,12,298.0,37.0,50.0,198.0,177.0,0.0,375.0,340.0,285.99
2020-01,Rainier Beach,9,119.0,55.0,35.0,109.0,90.0,0.0,199.0,199.0,199.0
2020-01,Rainier Beach,10,117.0,46.0,39.0,104.0,83.0,0.0,187.0,187.0,186.96
2020-01,Rainier Beach,11,102.0,52.0,37.0,97.0,79.0,0.0,176.0,160.0,135.03
2020-01,Rainier Beach,12,112.0,44.0,21.0,80.0,90.0,0.0,170.0,145.0,116.75
2020-01,Nathan Hale,9,217.0,25.0,34.0,150.0,120.0,2.0,272.0,272.0,271.39
2020-01,Nathan Hale,10,241.0,29.0,43.0,163.0,145.0,1.0,309.0,309.0,308.67
2020-01,Nathan Hale,11,225.0,29.0,52.0,149.0,146.0,0.0,295.0,272.0,244.85
2020-01,Nathan Hale,12,220.0,19.0,40.0,148.0,126.0,0.0,274.0,234.0,200.91
2020-01,NOVA,9,26.0,0.0,10.0,17.0,18.0,1.0,36.0,36.0,36.0
2020-01,NOVA,10,46.0,1.0,17.0,28.0,34.0,1.0,63.0,63.0,61.16
