Month,School,Grade,Regular Program,Bilingual Served,Spec. Ed. Served,Male,Female,Non-Binary,Total Student Count,P223 Total Count,P223 Total FTE
2022-10,Ballard,9,308.0,6.0,51.0,201.0,150.0,10.0,361.0,361.0,361.0
2022-10,Ballard,10,360.0,11.0,60.0,221.0,199.0,9.0,429.0,429.0,427.93
2022-10,Ballard,11,347.0,12.0,41.0,195.0,198.0,4.0,397.0,387.0,372.52
2022-10,Ballard,12,336.0,8.0,53.0,220.0,168.0,8.0,396.0,378.0,353.27
2022-10,Cleveland STEM,9,188.0,25.0,25.0,134.0,97.0,0.0,231.0,231.0,231.0
2022-10,Cleveland STEM,10,190.0,24.0,22.0,133.0,98.0,0.0,231.0,231.0,230.62
2022-10,Cleveland STEM,11,190.0,20.0,14.0,101.0,116.0,1.0,218.0,197.0,170.51
2022-10,Cleveland STEM,12,184.0,17.0,28.0,120.0,96.0,1.0,217.0,187.0,156.48
2022-10,Franklin,9,161.0,57.0,35.0,116.0,118.0,2.0,236.0,236.0,235.91
2022-10,Franklin,10,242.0,71.0,41.0,166.0,167.0,3.0,336.0,336.0,334.36
2022-10,Franklin,11,216.0,64.0,39.0,165.0,138.0,1.0,304.0,289.0,260.83
2022-10,Franklin,12,230.0,91.0,31.0,169.0,168.0,1.0,338.0,313.0,271.28
2022-10,Garfield,9,309.0,28.0,36.0,187.0,170.0,6.0,363.0,363.0,363.0
2022-10,Garfield,10,363.0,24.0,32.0,220.0,184.0,10.0,414.0,414.0,413.5
2022-10,Garfield,11,358.0,31.0,33.0,206.0,203.0,7.0,416.0,400.0,363.34
2022-10,Garfield,12,355.0,37.0,40.0,212.0,210.0,3.0,425.0,400.0,353.78
2022-10,Lincoln,9,428.0,6.0,39.0,264.0,199.0,8.0,471.0,471.0,471.0
2022-10,Lincoln,10,357.0,13.0,49.0,243.0,165.0,8.0,416.0,416.0,414.54
2022-10,Lincoln,11,343.0,11.0,29.0,199.0,169.0,15.0,383.0,378.0,362.65
2022-10,Lincoln,12,339.0,9.0,33.0,212.0,163.0,5.0,380.0,367.0,353.34
2022-10,Roosevelt,9,310.0,18.0,41.0,176.0,182.0,3.0,361.0,361.0,359.69
2022-10,Roosevelt,10,341.0,16.0,39.0,195.0,189.0,8.0,392.0,392.0,389.15
2022-10,Roosevelt,11,347.0,11.0,36.0,185.0,201.0,3.0,389.0,380.0,350.3
2022-10,Roosevelt,12,351.0,6.0,34.0,212.0,176.0,2.0,390.0,369.0,344.11
2022-10,Chief Sealth International,9,214.0,65.0,51.0,152.0,160.0,4.0,316.0,316.0,315.85
2022-10,Chief Sealth International,10,213.0,56.0,61.0,179.0,130.0,3.0,312.0,312.0,311.78
2022-10,Chief Sealth International,11,213.0,63.0,59.0,166.0,141.0,3.0,310.0,273.0,243.41
2022-10,Chief Sealth International,12,235.0,70.0,51.0,176.0,166.0,3.0,345.0,277.0,247.58
2022-10,West Seattle,9,296.0,4.0,58.0,185.0,162.0,9.0,356.0,356.0,353.76
2022-10,West Seattle,10,314.0,12.0,46.0,198.0,167.0,6.0,371.0,371.0,368.72
2022-10,West Seattle,11,254.0,10.0,32.0,166.0,124.0,5.0,295.0,291.0,278.53
2022-10,West Seattle,12,273.0,13.0,31.0,165.0,142.0,4.0,311.0,283.0,248.32
2022-10,Ingraham,9,305.0,32.0,67.0,207.0,178.0,5.0,390.0,390.0,389.26
2022-10,Ingraham,10,283.0,40.0,54.0,193.0,166.0,7.0,366.0,366.0,364.6
2022-10,Ingraham,11,266.0,34.0,64.0,147.0,200.0,5.0,352.0,342.0,318.82
2022-10,Ingraham,12,267.0,41.0,46.0,191.0,148.0,6.0,345.0,320.0,272.74
2022-10,Rainier Beach,9,133.0,56.0,34.0,110.0,100.0,1.0,211.0,211.0,211.0
2022-10,Rainier Beach,10,141.0,44.0,26.0,105.0,102.0,0.0,207.0,207.0,205.96
2022-10,Rainier Beach,11,124.0,46.0,21.0,86.0,95.0,2.0,183.0,174.0,153.87
2022-10,Rainier Beach,12,129.0,62.0,29.0,112.0,101.0,0.0,213.0,199.0,176.76
2022-10,Nathan Hale,9,241.0,27.0,46.0,159.0,143.0,6.0,308.0,308.0,307.59
2022-10,Nathan Hale,10,209.0,23.0,50.0,148.0,118.0,7.0,273.0,273.0,272.68
2022-10,Nathan Hale,11,210.0,21.0,38.0,147.0,110.0,4.0,261.0,256.0,242.44
2022-10,Nathan Hale,12,220.0,17.0,22.0,130.0,121.0,6.0,257.0,244.0,211.05
2022-10,NOVA,9,39.0,3.0,15.0,20.0,20.0,16.0,56.0,56.0,55.25
2022-10,NOVA,10,50.0,1.0,17.0,25.0,30.0,13.0,68.0,68.0,67.3
2022-10,NOVA,11,61.0,1.0,24.0,33.0,40.0,13.0,86.0,86.0,83.68
2022-10,NOVA,12,57.0,1.0,18.0,27.0,40.0,8.0,75.0,75.0,70.96
2022-10,Center School,9,54.0,0.0,8.0,17.0,33.0,12.0,62.0,62.0,61.15
2022-10,Center School,10,33.0,1.0,16.0,16.0,29.0,5.0,50.0,50.0,49.53
2022-10,Center School,11,45.0,2.0,13.0,24.0,33.0,3.0,60.0,58.0,52.72
2022-10,Center School,12,53.0,1.0,17.0,33.0,34.0,4.0,71.0,60.0,42.93
2022-10,Denny International,6,169.0,51.0,62.0,152.0,114.0,2.0,268.0,268.0,268.0
2022-10,Denny International,7,166.0,71.0,46.0,130.0,137.0,1.0,268.0,268.0,268.0
2022-10,Denny International,8,197.0,53.0,48.0,152.0,127.0,1.0,280.0,280.0,279.43
2022-10,Eckstein,6,274.0,13.0,45.0,151.0,173.0,1.0,325.0,325.0,325.0
2022-10,Eckstein,7,295.0,12.0,40.0,176.0,168.0,2.0,346.0,346.0,343.02
2022-10,Eckstein,8,318.0,14.0,48.0,190.0,182.0,4.0,376.0,376.0,376.0
2022-10,Hamilton International,6,249.0,12.0,48.0,160.0,144.0,4.0,308.0,308.0,308.0
2022-10,Hamilton International,7,243.0,8.0,28.0,147.0,122.0,8.0,277.0,277.0,276.33
2022-10,Hamilton International,8,302.0,6.0,36.0,170.0,168.0,4.0,342.0,342.0,339.81
2022-10,Jane Addams,6,193.0,49.0,60.0,148.0,135.0,5.0,288.0,288.0,288.0
2022-10,Jane Addams,7,239.0,25.0,29.0,146.0,138.0,4.0,288.0,288.0,288.0
2022-10,Jane Addams,8,246.0,21.0,47.0,160.0,139.0,10.0,309.0,309.0,309.0
2022-10,Madison,6,264.0,19.0,48.0,154.0,170.0,3.0,327.0,327.0,327.0
2022-10,Madison,7,274.0,8.0,40.0,178.0,139.0,3.0,320.0,320.0,319.82
2022-10,Madison,8,282.0,16.0,45.0,191.0,141.0,5.0,337.0,337.0,335.85
2022-10,Meany,6,129.0,18.0,28.0,94.0,78.0,2.0,174.0,174.0,174.0
2022-10,Meany,7,125.0,23.0,23.0,86.0,83.0,0.0,169.0,169.0,169.0
2022-10,Meany,8,120.0,22.0,29.0,97.0,67.0,5.0,169.0,169.0,169.0
2022-10,Mercer International,6,129.0,67.0,37.0,116.0,100.0,1.0,217.0,217.0,217.0
2022-10,Mercer International,7,183.0,74.0,39.0,140.0,132.0,0.0,272.0,272.0,272.0
2022-10,Mercer International,8,249.0,85.0,50.0,173.0,191.0,1.0,365.0,365.0,364.94
2022-10,Robert Eagle Staff,6,159.0,17.0,46.0,104.0,110.0,2.0,216.0,216.0,216.0
2022-10,Robert Eagle Staff,7,166.0,15.0,40.0,106.0,109.0,1.0,216.0,216.0,216.0
2022-10,Robert Eagle Staff,8,184.0,27.0,45.0,105.0,134.0,6.0,245.0,245.0,245.0
2022-10,Whitman,6,175.0,8.0,27.0,107.0,100.0,2.0,209.0,209.0,209.0
2022-10,Whitman,7,198.0,7.0,32.0,116.0,112.0,6.0,234.0,234.0,233.54
2022-10,Whitman,8,198.0,8.0,36.0,140.0,93.0,5.0,238.0,238.0,237.95
2022-10,Washington,6,127.0,51.0,29.0,96.0,96.0,4.0,196.0,196.0,196.0
2022-10,Washington,7,120.0,38.0,26.0,91.0,80.0,3.0,174.0,174.0,174.0
2022-10,Washington,8,139.0,30.0,21.0,102.0,81.0,2.0,185.0,185.0,184.0
2022-10,McClure,6,113.0,10.0,25.0,75.0,71.0,1.0,147.0,147.0,147.0
2022-10,McClure,7,117.0,4.0,25.0,74.0,68.0,3.0,145.0,145.0,145.0
2022-10,McClure,8,115.0,4.0,18.0,74.0,57.0,5.0,136.0,136.0,135.66
2022-10,Aki Kurose,6,174.0,75.0,55.0,152.0,126.0,2.0,280.0,280.0,280.0
2022-10,Aki Kurose,7,185.0,74.0,47.0,163.0,129.0,2.0,294.0,294.0,293.66
2022-10,Aki Kurose,8,123.0,57.0,35.0,109.0,89.0,1.0,199.0,199.0,199.0
2022-10,Adams,K,41.0,0.0,0.0,22.0,19.0,0.0,41.0,41.0,41.0
2022-10,Adams,1,47.0,4.0,5.0,28.0,28.0,0.0,56.0,56.0,56.0
2022-10,Adams,2,38.0,2.0,4.0,19.0,25.0,0.0,44.0,44.0,44.0
2022-10,Adams,3,40.0,2.0,12.0,31.0,20.0,2.0,53.0,53.0,53.0
2022-10,Adams,4,50.0,3.0,8.0,33.0,26.0,0.0,59.0,59.0,59.0
2022-10,Adams,5,51.0,3.0,11.0,36.0,28.0,1.0,65.0,65.0,65.0
2022-10,Alki,K,41.0,2.0,1.0,22.0,22.0,0.0,44.0,44.0,44.0
2022-10,Alki,1,41.0,3.0,3.0,21.0,25.0,1.0,47.0,47.0,47.0
2022-10,Alki,2,44.0,1.0,3.0,23.0,25.0,0.0,48.0,48.0,48.0
2022-10,Alki,3,41.0,2.0,4.0,19.0,28.0,0.0,47.0,47.0,47.0
2022-10,Alki,4,39.0,3.0,11.0,32.0,21.0,0.0,53.0,53.0,53.0
2022-10,Alki,5,48.0,0.0,8.0,30.0,25.0,1.0,56.0,56.0,56.0
2022-10,Arbor Heights,Preschool,27.0,0.0,2.0,12.0,16.0,1.0,29.0,0.0,0.0
2022-10,Arbor Heights,K,79.0,0.0,9.0,44.0,44.0,0.0,88.0,88.0,88.0
2022-10,Arbor Heights,1,70.0,4.0,11.0,42.0,42.0,0.0,84.0,84.0,84.0
2022-10,Arbor Heights,2,58.0,2.0,10.0,39.0,30.0,0.0,69.0,69.0,69.0
2022-10,Arbor Heights,3,71.0,4.0,13.0,49.0,37.0,0.0,86.0,86.0,86.0
2022-10,Arbor Heights,4,65.0,7.0,15.0,36.0,49.0,0.0,85.0,85.0,85.0
2022-10,Arbor Heights,5,56.0,4.0,16.0,37.0,38.0,0.0,75.0,75.0,75.0
2022-10,Daniel Bagley,K,43.0,1.0,8.0,28.0,23.0,1.0,52.0,52.0,52.0
2022-10,Daniel Bagley,1,42.0,10.0,6.0,32.0,26.0,0.0,58.0,58.0,58.0
2022-10,Daniel Bagley,2,34.0,1.0,5.0,20.0,20.0,0.0,40.0,40.0,40.0
2022-10,Daniel Bagley,3,48.0,7.0,13.0,35.0,31.0,1.0,67.0,67.0,67.0
2022-10,Daniel Bagley,4,40.0,6.0,10.0,32.0,23.0,0.0,55.0,55.0,55.0
2022-10,Daniel Bagley,5,34.0,5.0,13.0,27.0,23.0,0.0,50.0,50.0,50.0
2022-10,Beacon Hill International,K,30.0,26.0,5.0,27.0,28.0,2.0,57.0,57.0,57.0
2022-10,Beacon Hill International,1,25.0,24.0,7.0,24.0,27.0,1.0,52.0,52.0,52.0
2022-10,Beacon Hill International,2,28.0,28.0,6.0,26.0,32.0,0.0,58.0,58.0,58.0
2022-10,Beacon Hill International,3,26.0,26.0,10.0,35.0,24.0,0.0,59.0,59.0,59.0
2022-10,Beacon Hill International,4,29.0,34.0,7.0,34.0,31.0,0.0,65.0,65.0,65.0
2022-10,Beacon Hill International,5,29.0,22.0,2.0,28.0,25.0,0.0,53.0,53.0,53.0
2022-10,Martin Luther King Jr,Preschool,17.0,0.0,12.0,19.0,10.0,0.0,29.0,0.0,0.0
2022-10,Martin Luther King Jr,K,33.0,14.0,0.0,21.0,25.0,1.0,47.0,47.0,47.0
2022-10,Martin Luther King Jr,1,20.0,16.0,3.0,20.0,18.0,0.0,38.0,38.0,38.0
