Month,School,Grade,Regular Program,Bilingual Served,Spec. Ed. Served,Male,Female,Non-Binary,Total Student Count,P223 Total Count,P223 Total FTE
2023-10,Ballard,9,376.0,7.0,57.0,225.0,206.0,6.0,437.0,437.0,436.31
2023-10,Ballard,10,320.0,8.0,53.0,204.0,163.0,11.0,378.0,378.0,378.0
2023-10,Ballard,11,354.0,10.0,67.0,218.0,201.0,8.0,427.0,417.0,400.79
2023-10,Ballard,12,355.0,10.0,47.0,205.0,200.0,3.0,408.0,386.0,362.64
2023-10,Cleveland STEM,9,168.0,43.0,25.0,110.0,112.0,5.0,227.0,227.0,227.0
2023-10,Cleveland STEM,10,183.0,26.0,28.0,132.0,95.0,0.0,227.0,227.0,227.0
2023-10,Cleveland STEM,11,191.0,23.0,16.0,129.0,94.0,2.0,225.0,192.0,164.3
2023-10,Cleveland STEM,12,184.0,21.0,13.0,101.0,108.0,1.0,210.0,166.0,131.42
2023-10,Franklin,9,211.0,72.0,44.0,150.0,160.0,1.0,311.0,311.0,311.0
2023-10,Franklin,10,155.0,71.0,38.0,118.0,128.0,2.0,248.0,248.0,247.48
2023-10,Franklin,11,233.0,86.0,39.0,171.0,169.0,4.0,344.0,324.0,279.1
2023-10,Franklin,12,210.0,99.0,43.0,172.0,162.0,1.0,335.0,301.0,255.23
2023-10,Garfield,9,323.0,38.0,44.0,194.0,197.0,9.0,400.0,400.0,400.0
2023-10,Garfield,10,319.0,35.0,42.0,198.0,184.0,5.0,387.0,387.0,386.59
2023-10,Garfield,11,372.0,30.0,38.0,226.0,195.0,14.0,435.0,414.0,360.55
2023-10,Garfield,12,343.0,37.0,44.0,200.0,211.0,7.0,418.0,382.0,340.0
2023-10,Lincoln,9,375.0,8.0,41.0,225.0,187.0,10.0,422.0,422.0,419.78
2023-10,Lincoln,10,430.0,8.0,43.0,267.0,200.0,12.0,479.0,479.0,478.54
2023-10,Lincoln,11,353.0,18.0,47.0,241.0,163.0,13.0,417.0,409.0,391.81
2023-10,Lincoln,12,347.0,12.0,29.0,196.0,173.0,18.0,387.0,372.0,342.87
2023-10,Roosevelt,9,327.0,13.0,46.0,201.0,178.0,5.0,384.0,384.0,383.38
2023-10,Roosevelt,10,294.0,21.0,44.0,173.0,171.0,6.0,350.0,350.0,347.37
2023-10,Roosevelt,11,345.0,20.0,39.0,192.0,196.0,11.0,399.0,394.0,371.14
2023-10,Roosevelt,12,346.0,11.0,48.0,193.0,207.0,2.0,402.0,379.0,339.55
2023-10,Chief Sealth International,9,209.0,58.0,57.0,167.0,138.0,1.0,306.0,306.0,305.09
2023-10,Chief Sealth International,10,200.0,61.0,48.0,147.0,144.0,4.0,295.0,295.0,294.57
2023-10,Chief Sealth International,11,214.0,46.0,56.0,172.0,126.0,4.0,302.0,248.0,226.6
2023-10,Chief Sealth International,12,202.0,58.0,55.0,160.0,133.0,3.0,296.0,231.0,208.4
2023-10,West Seattle,9,296.0,15.0,61.0,207.0,156.0,3.0,366.0,366.0,363.89
2023-10,West Seattle,10,298.0,6.0,51.0,189.0,158.0,7.0,354.0,354.0,352.59
2023-10,West Seattle,11,317.0,15.0,47.0,202.0,169.0,7.0,378.0,367.0,332.26
2023-10,West Seattle,12,255.0,8.0,36.0,165.0,129.0,5.0,299.0,284.0,247.76
2023-10,Ingraham,9,255.0,37.0,62.0,179.0,152.0,10.0,341.0,341.0,340.27
2023-10,Ingraham,10,278.0,38.0,71.0,199.0,166.0,6.0,371.0,371.0,370.42
2023-10,Ingraham,11,267.0,44.0,58.0,190.0,161.0,6.0,357.0,349.0,322.81
2023-10,Ingraham,12,255.0,40.0,63.0,145.0,196.0,6.0,347.0,323.0,281.3
2023-10,Rainier Beach,9,106.0,59.0,26.0,92.0,86.0,1.0,179.0,179.0,179.0
2023-10,Rainier Beach,10,129.0,54.0,34.0,109.0,96.0,1.0,206.0,206.0,206.0
2023-10,Rainier Beach,11,132.0,44.0,24.0,104.0,93.0,0.0,197.0,189.0,163.56
2023-10,Rainier Beach,12,114.0,58.0,23.0,96.0,90.0,1.0,187.0,180.0,149.23
2023-10,Nathan Hale,9,208.0,19.0,55.0,141.0,128.0,4.0,273.0,273.0,272.93
2023-10,Nathan Hale,10,224.0,27.0,51.0,156.0,129.0,10.0,295.0,295.0,294.53
2023-10,Nathan Hale,11,195.0,28.0,56.0,143.0,120.0,7.0,270.0,255.0,233.42
2023-10,Nathan Hale,12,203.0,29.0,38.0,149.0,111.0,2.0,262.0,241.0,218.0
