Month,School,Grade,Regular Program,Bilingual Served,Spec. Ed. Served,Male,Female,Non-Binary,Total Student Count,P223 Total Count,P223 Total FTE
2021-05,Ballard,9,353.0,9.0,50.0,203.0,204.0,3.0,410.0,410.0,409.29
2021-05,Ballard,10,354.0,4.0,56.0,221.0,189.0,3.0,413.0,413.0,411.73
2021-05,Ballard,11,374.0,9.0,41.0,223.0,199.0,1.0,423.0,401.0,381.63
2021-05,Ballard,12,429.0,9.0,46.0,254.0,226.0,2.0,482.0,435.0,389.19
2021-05,Cleveland STEM,9,188.0,25.0,23.0,112.0,116.0,1.0,229.0,229.0,229.0
2021-05,Cleveland STEM,10,200.0,16.0,26.0,126.0,106.0,1.0,233.0,233.0,232.78
2021-05,Cleveland STEM,11,210.0,13.0,13.0,136.0,98.0,0.0,234.0,216.0,181.43
2021-05,Cleveland STEM,12,184.0,20.0,20.0,107.0,110.0,0.0,217.0,183.0,146.81
2021-05,Franklin,Preschool,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2021-05,Franklin,9,216.0,58.0,32.0,147.0,145.0,1.0,293.0,293.0,292.91
2021-05,Franklin,10,226.0,46.0,30.0,135.0,151.0,1.0,287.0,287.0,286.26
2021-05,Franklin,11,220.0,78.0,34.0,146.0,173.0,0.0,319.0,304.0,269.7
2021-05,Franklin,12,243.0,73.0,40.0,153.0,186.0,0.0,339.0,312.0,262.5
2021-05,Garfield,9,351.0,23.0,40.0,204.0,200.0,4.0,408.0,408.0,407.43
2021-05,Garfield,10,354.0,22.0,37.0,202.0,202.0,1.0,405.0,405.0,403.24
2021-05,Garfield,11,362.0,34.0,38.0,233.0,191.0,2.0,426.0,396.0,342.13
2021-05,Garfield,12,431.0,27.0,31.0,236.0,240.0,1.0,477.0,416.0,348.49
2021-05,Lincoln,9,358.0,6.0,29.0,203.0,183.0,6.0,392.0,392.0,390.73
2021-05,Lincoln,10,355.0,4.0,28.0,214.0,171.0,2.0,387.0,387.0,384.8
2021-05,Lincoln,11,168.0,3.0,13.0,107.0,75.0,1.0,183.0,183.0,162.31
2021-05,Roosevelt,9,345.0,8.0,39.0,189.0,197.0,2.0,388.0,388.0,384.51
2021-05,Roosevelt,10,344.0,5.0,44.0,211.0,180.0,1.0,392.0,392.0,389.49
2021-05,Roosevelt,11,374.0,8.0,31.0,217.0,191.0,2.0,410.0,396.0,365.88
2021-05,Roosevelt,12,469.0,8.0,27.0,247.0,252.0,3.0,502.0,453.0,401.76
2021-05,Chief Sealth International,9,223.0,61.0,61.0,173.0,147.0,1.0,321.0,321.0,320.92
2021-05,Chief Sealth International,10,227.0,57.0,57.0,167.0,162.0,1.0,330.0,330.0,330.0
2021-05,Chief Sealth International,11,167.0,49.0,40.0,120.0,120.0,1.0,241.0,208.0,181.37
2021-05,Chief Sealth International,12,191.0,32.0,43.0,139.0,117.0,0.0,256.0,212.0,180.34
