Month,School,Grade,Regular Program,Bilingual Served,Spec. Ed. Served,Male,Female,Non-Binary,Total Student Count,P223 Total Count,P223 Total FTE
2022-12,Ballard,9,309.0,6.0,51.0,201.0,151.0,10.0,362.0,362.0,362.0
2022-12,Ballard,10,359.0,10.0,64.0,220.0,201.0,9.0,430.0,430.0,428.58
2022-12,Ballard,11,350.0,10.0,43.0,199.0,196.0,5.0,400.0,389.0,373.49
2022-12,Ballard,12,335.0,8.0,52.0,218.0,168.0,8.0,394.0,376.0,352.1
2022-12,Cleveland STEM,9,189.0,26.0,26.0,134.0,98.0,0.0,232.0,232.0,232.0
2022-12,Cleveland STEM,10,194.0,24.0,21.0,135.0,99.0,0.0,234.0,234.0,233.31
2022-12,Cleveland STEM,11,190.0,21.0,14.0,102.0,115.0,1.0,218.0,197.0,170.78
2022-12,Cleveland STEM,12,191.0,16.0,25.0,121.0,99.0,1.0,221.0,185.0,154.7
2022-12,Franklin,9,162.0,57.0,33.0,113.0,121.0,2.0,236.0,236.0,236.0
2022-12,Franklin,10,239.0,69.0,39.0,163.0,165.0,3.0,331.0,331.0,329.12
2022-12,Franklin,11,216.0,64.0,39.0,164.0,139.0,1.0,304.0,288.0,260.89
2022-12,Franklin,12,230.0,96.0,35.0,170.0,175.0,1.0,346.0,320.0,277.37
2022-12,Garfield,9,304.0,28.0,41.0,188.0,168.0,6.0,362.0,362.0,362.0
2022-12,Garfield,10,361.0,24.0,34.0,220.0,184.0,10.0,414.0,414.0,413.18
2022-12,Garfield,11,345.0,31.0,44.0,198.0,207.0,7.0,412.0,397.0,358.58
2022-12,Garfield,12,362.0,34.0,39.0,216.0,210.0,3.0,429.0,388.0,346.11
2022-12,Lincoln,9,423.0,7.0,45.0,265.0,200.0,8.0,473.0,473.0,472.33
2022-12,Lincoln,10,358.0,13.0,44.0,241.0,163.0,8.0,412.0,412.0,410.62
2022-12,Lincoln,11,341.0,12.0,29.0,200.0,167.0,15.0,382.0,377.0,361.17
2022-12,Lincoln,12,335.0,9.0,35.0,211.0,162.0,5.0,378.0,365.0,351.44
2022-12,Roosevelt,9,309.0,17.0,46.0,178.0,183.0,3.0,364.0,364.0,362.69
2022-12,Roosevelt,10,340.0,18.0,36.0,195.0,187.0,8.0,390.0,390.0,386.75
2022-12,Roosevelt,11,349.0,11.0,33.0,184.0,202.0,3.0,389.0,379.0,348.2
2022-12,Roosevelt,12,345.0,6.0,38.0,209.0,177.0,2.0,388.0,367.0,341.77
2022-12,Chief Sealth International,9,213.0,64.0,54.0,151.0,160.0,4.0,315.0,315.0,315.0
2022-12,Chief Sealth International,10,208.0,54.0,60.0,174.0,128.0,3.0,305.0,305.0,304.84
2022-12,Chief Sealth International,11,205.0,63.0,58.0,167.0,134.0,3.0,304.0,265.0,237.28
2022-12,Chief Sealth International,12,233.0,74.0,51.0,177.0,167.0,3.0,347.0,276.0,247.85
2022-12,West Seattle,9,291.0,4.0,58.0,180.0,162.0,9.0,351.0,351.0,349.42
2022-12,West Seattle,10,313.0,13.0,46.0,200.0,165.0,6.0,371.0,371.0,368.42
2022-12,West Seattle,11,249.0,11.0,33.0,165.0,123.0,4.0,292.0,288.0,275.92
2022-12,West Seattle,12,272.0,12.0,31.0,164.0,141.0,4.0,309.0,278.0,244.9
2022-12,Ingraham,9,302.0,34.0,62.0,202.0,177.0,5.0,384.0,384.0,383.37
2022-12,Ingraham,10,279.0,41.0,50.0,192.0,161.0,8.0,361.0,361.0,359.52
2022-12,Ingraham,11,269.0,38.0,58.0,147.0,202.0,5.0,354.0,344.0,320.28
2022-12,Ingraham,12,268.0,40.0,46.0,190.0,148.0,6.0,344.0,316.0,270.57
2022-12,Rainier Beach,9,127.0,54.0,29.0,105.0,94.0,1.0,200.0,200.0,200.0
2022-12,Rainier Beach,10,139.0,46.0,27.0,107.0,100.0,0.0,207.0,207.0,207.0
2022-12,Rainier Beach,11,117.0,47.0,21.0,87.0,88.0,2.0,177.0,167.0,148.05
2022-12,Rainier Beach,12,129.0,64.0,30.0,112.0,103.0,0.0,215.0,195.0,176.75
2022-12,Nathan Hale,9,237.0,28.0,52.0,161.0,143.0,6.0,310.0,310.0,308.78
2022-12,Nathan Hale,10,200.0,29.0,52.0,148.0,117.0,7.0,272.0,272.0,271.46
2022-12,Nathan Hale,11,205.0,26.0,37.0,146.0,110.0,4.0,260.0,252.0,239.52
2022-12,Nathan Hale,12,214.0,19.0,22.0,130.0,117.0,6.0,253.0,241.0,206.74
2022-12,NOVA,9,38.0,3.0,18.0,20.0,21.0,17.0,58.0,58.0,56.33
2022-12,NOVA,10,47.0,1.0,17.0,25.0,27.0,13.0,65.0,65.0,65.0
2022-12,NOVA,11,61.0,1.0,20.0,32.0,36.0,14.0,82.0,82.0,79.0
2022-12,NOVA,12,55.0,1.0,16.0,24.0,40.0,7.0,71.0,71.0,64.61
2022-12,Center School,9,54.0,0.0,7.0,16.0,34.0,11.0,61.0,61.0,60.03
2022-12,Center School,10,32.0,1.0,18.0,16.0,30.0,5.0,51.0,51.0,50.57
2022-12,Center School,11,41.0,1.0,14.0,23.0,30.0,3.0,56.0,54.0,48.71
2022-12,Center School,12,53.0,1.0,20.0,35.0,35.0,4.0,74.0,62.0,43.74
2022-12,Denny International,6,170.0,54.0,60.0,153.0,113.0,2.0,268.0,268.0,268.0
2022-12,Denny International,7,164.0,74.0,49.0,131.0,137.0,2.0,270.0,270.0,270.0
2022-12,Denny International,8,196.0,54.0,47.0,150.0,127.0,1.0,278.0,278.0,277.48
2022-12,Eckstein,6,278.0,13.0,45.0,153.0,175.0,1.0,329.0,329.0,329.0
2022-12,Eckstein,7,295.0,12.0,42.0,177.0,169.0,2.0,348.0,348.0,346.02
2022-12,Eckstein,8,315.0,16.0,49.0,191.0,181.0,4.0,376.0,376.0,376.0
2022-12,Hamilton International,6,248.0,12.0,49.0,162.0,142.0,4.0,308.0,308.0,308.0
2022-12,Hamilton International,7,245.0,10.0,26.0,147.0,124.0,8.0,279.0,279.0,277.92
2022-12,Hamilton International,8,301.0,6.0,36.0,172.0,165.0,4.0,341.0,341.0,338.86
2022-12,Jane Addams,6,191.0,48.0,64.0,149.0,133.0,5.0,287.0,287.0,287.0
2022-12,Jane Addams,7,239.0,24.0,32.0,146.0,139.0,4.0,289.0,289.0,289.0
2022-12,Jane Addams,8,237.0,21.0,52.0,157.0,137.0,10.0,304.0,304.0,303.76
2022-12,Madison,6,265.0,18.0,48.0,154.0,170.0,3.0,327.0,327.0,327.0
2022-12,Madison,7,272.0,10.0,38.0,177.0,138.0,3.0,318.0,318.0,317.88
2022-12,Madison,8,276.0,17.0,48.0,189.0,140.0,5.0,334.0,334.0,332.54
2022-12,Meany,6,129.0,20.0,28.0,94.0,80.0,2.0,176.0,176.0,176.0
2022-12,Meany,7,125.0,22.0,21.0,84.0,82.0,0.0,166.0,166.0,166.0
2022-12,Meany,8,122.0,21.0,28.0,100.0,64.0,5.0,169.0,169.0,169.0
2022-12,Mercer International,6,131.0,66.0,37.0,116.0,102.0,1.0,219.0,219.0,219.0
2022-12,Mercer International,7,182.0,73.0,36.0,138.0,132.0,0.0,270.0,270.0,270.0
2022-12,Mercer International,8,252.0,86.0,48.0,176.0,190.0,2.0,368.0,368.0,367.94
2022-12,Robert Eagle Staff,6,159.0,18.0,45.0,105.0,108.0,3.0,216.0,216.0,216.0
2022-12,Robert Eagle Staff,7,168.0,15.0,40.0,106.0,110.0,2.0,218.0,218.0,217.92
2022-12,Robert Eagle Staff,8,183.0,28.0,45.0,104.0,135.0,6.0,245.0,245.0,245.0
2022-12,Whitman,6,174.0,7.0,27.0,106.0,99.0,2.0,207.0,207.0,207.0
2022-12,Whitman,7,198.0,7.0,32.0,116.0,111.0,7.0,234.0,234.0,233.54
2022-12,Whitman,8,197.0,9.0,36.0,140.0,93.0,5.0,238.0,238.0,237.91
2022-12,Washington,6,130.0,49.0,30.0,94.0,100.0,5.0,199.0,199.0,199.0
2022-12,Washington,7,118.0,37.0,26.0,91.0,77.0,3.0,171.0,171.0,171.0
2022-12,Washington,8,142.0,30.0,23.0,103.0,83.0,2.0,188.0,188.0,187.15
2022-12,McClure,6,115.0,11.0,22.0,75.0,71.0,1.0,147.0,147.0,147.0
2022-12,McClure,7,120.0,4.0,23.0,74.0,67.0,5.0,146.0,146.0,146.0
2022-12,McClure,8,114.0,5.0,17.0,75.0,56.0,4.0,135.0,135.0,134.45
2022-12,Aki Kurose,6,172.0,78.0,55.0,153.0,125.0,2.0,280.0,280.0,280.0
2022-12,Aki Kurose,7,179.0,77.0,44.0,159.0,127.0,3.0,289.0,289.0,288.66
2022-12,Aki Kurose,8,123.0,56.0,33.0,107.0,90.0,1.0,198.0,198.0,198.0
2022-12,Adams,K,40.0,0.0,0.0,22.0,18.0,0.0,40.0,40.0,40.0
2022-12,Adams,1,45.0,5.0,5.0,28.0,27.0,0.0,55.0,55.0,55.0
2022-12,Adams,2,39.0,3.0,3.0,19.0,26.0,0.0,45.0,45.0,44.48
2022-12,Adams,3,40.0,2.0,12.0,31.0,20.0,2.0,53.0,53.0,53.0
2022-12,Adams,4,50.0,3.0,7.0,34.0,25.0,0.0,59.0,59.0,59.0
2022-12,Adams,5,51.0,3.0,11.0,36.0,28.0,1.0,65.0,65.0,65.0
2022-12,Alki,K,37.0,2.0,2.0,22.0,19.0,0.0,41.0,41.0,41.0
2022-12,Alki,1,39.0,3.0,5.0,20.0,26.0,1.0,47.0,47.0,47.0
2022-12,Alki,2,43.0,1.0,4.0,23.0,25.0,0.0,48.0,48.0,48.0
2022-12,Alki,3,41.0,2.0,6.0,19.0,29.0,0.0,48.0,48.0,48.0
2022-12,Alki,4,37.0,3.0,13.0,32.0,21.0,0.0,53.0,53.0,53.0
2022-12,Alki,5,48.0,1.0,8.0,31.0,25.0,1.0,57.0,57.0,57.0
2022-12,Arbor Heights,Preschool,29.0,0.0,5.0,14.0,19.0,1.0,34.0,0.0,0.0
2022-12,Arbor Heights,K,76.0,3.0,10.0,45.0,43.0,0.0,88.0,88.0,88.0
2022-12,Arbor Heights,1,69.0,5.0,10.0,41.0,42.0,0.0,83.0,83.0,83.0
2022-12,Arbor Heights,2,58.0,3.0,9.0,38.0,31.0,0.0,69.0,69.0,69.0
2022-12,Arbor Heights,3,71.0,4.0,13.0,49.0,37.0,0.0,86.0,86.0,86.0
2022-12,Arbor Heights,4,65.0,7.0,14.0,35.0,49.0,0.0,84.0,84.0,84.0
2022-12,Arbor Heights,5,55.0,4.0,17.0,37.0,38.0,0.0,75.0,75.0,75.0
2022-12,Daniel Bagley,K,41.0,3.0,9.0,29.0,22.0,1.0,52.0,52.0,52.0
2022-12,Daniel Bagley,1,42.0,9.0,6.0,32.0,25.0,0.0,57.0,57.0,57.0
2022-12,Daniel Bagley,2,34.0,1.0,5.0,20.0,20.0,0.0,40.0,40.0,40.0
2022-12,Daniel Bagley,3,46.0,6.0,16.0,35.0,30.0,1.0,66.0,66.0,66.0
2022-12,Daniel Bagley,4,40.0,6.0,10.0,32.0,23.0,0.0,55.0,55.0,55.0
2022-12,Daniel Bagley,5,34.0,6.0,12.0,28.0,22.0,0.0,50.0,50.0,50.0
2022-12,Beacon Hill International,K,27.0,28.0,5.0,26.0,28.0,2.0,56.0,56.0,56.0
2022-12,Beacon Hill International,1,25.0,25.0,8.0,25.0,27.0,1.0,53.0,53.0,53.0
2022-12,Beacon Hill International,2,29.0,27.0,6.0,27.0,31.0,0.0,58.0,58.0,58.0
2022-12,Beacon Hill International,3,26.0,27.0,11.0,36.0,25.0,0.0,61.0,61.0,61.0
2022-12,Beacon Hill International,4,30.0,36.0,7.0,35.0,33.0,0.0,68.0,68.0,68.0
2022-12,Beacon Hill International,5,29.0,22.0,2.0,28.0,25.0,0.0,53.0,53.0,53.0
2022-12,Martin Luther King Jr,Preschool,19.0,0.0,14.0,20.0,13.0,0.0,33.0,0.0,0.0
2022-12,Martin Luther King Jr,K,29.0,18.0,1.0,22.0,25.0,1.0,48.0,48.0,48.0
2022-12,Martin Luther King Jr,1,20.0,18.0,4.0,20.0,20.0,0.0,40.0,40.0,40.0
2022-12,Martin Luther King Jr,2,17.0,17.0,9.0,21.0,19.0,0.0,40.0,40.0,40.0
2022-12,Martin Luther King Jr,3,20.0,24.0,5.0,19.0,27.0,0.0,46.0,46.0,46.0
2022-12,Martin Luther King Jr,4,22.0,18.0,5.0,27.0,16.0,0.0,43.0,43.0,43.0
2022-12,Martin Luther King Jr,5,17.0,9.0,5.0,14.0,15.0,0.0,29.0,29.0,29.0
2022-12,Broadview-Thomson K-8,Preschool,39.0,0.0,12.0,20.0,31.0,0.0,51.0,0.0,0.0
2022-12,Broadview-Thomson K-8,K,47.0,20.0,7.0,31.0,39.0,0.0,70.0,70.0,70.0
2022-12,Broadview-Thomson K-8,1,50.0,20.0,6.0,35.0,38.0,1.0,74.0,74.0,74.0
2022-12,Broadview-Thomson K-8,2,36.0,22.0,16.0,36.0,35.0,0.0,71.0,71.0,71.0
2022-12,Broadview-Thomson K-8,3,45.0,22.0,12.0,40.0,37.0,0.0,77.0,77.0,77.0
2022-12,Broadview-Thomson K-8,4,37.0,22.0,8.0,24.0,38.0,2.0,64.0,64.0,64.0
2022-12,Broadview-Thomson K-8,5,26.0,11.0,12.0,26.0,19.0,1.0,46.0,46.0,46.0
2022-12,Broadview-Thomson K-8,6,35.0,5.0,9.0,20.0,28.0,0.0,48.0,48.0,48.0
2022-12,Broadview-Thomson K-8,7,26.0,6.0,6.0,17.0,19.0,0.0,36.0,36.0,36.0
2022-12,Broadview-Thomson K-8,8,19.0,4.0,12.0,23.0,11.0,0.0,34.0,34.0,34.0
2022-12,Bryant,K,86.0,6.0,2.0,46.0,46.0,1.0,93.0,93.0,92.1
2022-12,Bryant,1,82.0,6.0,3.0,45.0,44.0,1.0,90.0,90.0,90.0
2022-12,Bryant,2,61.0,3.0,6.0,33.0,37.0,0.0,70.0,70.0,69.1
2022-12,Bryant,3,71.0,3.0,5.0,41.0,38.0,0.0,79.0,79.0,79.0
2022-12,Bryant,4,64.0,5.0,5.0,47.0,26.0,1.0,74.0,74.0,72.85
2022-12,Bryant,5,73.0,1.0,5.0,39.0,40.0,0.0,79.0,79.0,78.08
2022-12,Cedar Park,Preschool,38.0,0.0,1.0,17.0,22.0,0.0,39.0,0.0,0.0
2022-12,Cedar Park,K,24.0,9.0,3.0,16.0,17.0,1.0,34.0,34.0,34.0
2022-12,Cedar Park,1,31.0,7.0,0.0,22.0,16.0,0.0,38.0,38.0,38.0
2022-12,Cedar Park,2,24.0,5.0,3.0,11.0,21.0,0.0,32.0,32.0,32.0
2022-12,Cedar Park,3,33.0,4.0,3.0,21.0,19.0,0.0,40.0,40.0,40.0
2022-12,Cedar Park,4,32.0,4.0,1.0,18.0,19.0,0.0,37.0,37.0,37.0
2022-12,Cedar Park,5,17.0,0.0,4.0,7.0,12.0,2.0,21.0,21.0,21.0
2022-12,Coe,K,79.0,5.0,7.0,40.0,50.0,0.0,90.0,90.0,89.91
2022-12,Coe,1,63.0,9.0,7.0,42.0,36.0,0.0,78.0,78.0,78.0
2022-12,Coe,2,60.0,4.0,4.0,34.0,34.0,0.0,68.0,68.0,68.0
2022-12,Coe,3,58.0,4.0,15.0,34.0,42.0,0.0,76.0,76.0,76.0
2022-12,Coe,4,52.0,2.0,14.0,28.0,39.0,0.0,67.0,67.0,67.0
2022-12,Coe,5,65.0,2.0,11.0,37.0,41.0,0.0,78.0,78.0,78.0
2022-12,Thurgood Marshall,Preschool,7.0,0.0,8.0,9.0,6.0,0.0,15.0,0.0,0.0
2022-12,Thurgood Marshall,K,51.0,12.0,8.0,32.0,36.0,0.0,68.0,68.0,68.0
2022-12,Thurgood Marshall,1,42.0,13.0,9.0,29.0,30.0,0.0,59.0,59.0,59.0
2022-12,Thurgood Marshall,2,41.0,14.0,6.0,25.0,34.0,1.0,60.0,60.0,60.0
