Month,School,Grade,Regular Program,Bilingual Served,Spec. Ed. Served,Male,Female,Non-Binary,Total Student Count,P223 Total Count,P223 Total FTE
2021-12,Ballard,9,373.0,8.0,57.0,227.0,204.0,5.0,436.0,436.0,435.89
2021-12,Ballard,10,349.0,9.0,49.0,199.0,201.0,4.0,404.0,404.0,402.54
2021-12,Ballard,11,344.0,6.0,55.0,220.0,182.0,2.0,404.0,395.0,382.17
2021-12,Ballard,12,376.0,9.0,43.0,229.0,192.0,6.0,427.0,400.0,372.29
2021-12,Cleveland STEM,9,187.0,28.0,18.0,130.0,98.0,0.0,228.0,228.0,227.86
2021-12,Cleveland STEM,10,189.0,26.0,17.0,108.0,117.0,1.0,226.0,226.0,226.0
2021-12,Cleveland STEM,11,191.0,16.0,28.0,123.0,100.0,1.0,224.0,208.0,186.24
2021-12,Cleveland STEM,12,210.0,14.0,13.0,137.0,98.0,0.0,235.0,192.0,162.24
2021-12,Franklin,9,239.0,64.0,43.0,169.0,154.0,3.0,326.0,326.0,325.59
2021-12,Franklin,10,205.0,65.0,35.0,155.0,135.0,1.0,291.0,291.0,290.27
2021-12,Franklin,11,242.0,54.0,29.0,150.0,159.0,1.0,310.0,305.0,261.61
2021-12,Franklin,12,228.0,98.0,34.0,167.0,179.0,0.0,346.0,320.0,276.73
2021-12,Garfield,9,360.0,23.0,34.0,216.0,189.0,8.0,413.0,413.0,413.0
2021-12,Garfield,10,343.0,22.0,35.0,198.0,191.0,5.0,394.0,394.0,393.11
2021-12,Garfield,11,354.0,27.0,38.0,199.0,211.0,1.0,411.0,395.0,358.12
2021-12,Garfield,12,365.0,39.0,35.0,231.0,196.0,2.0,429.0,374.0,321.72
2021-12,Lincoln,9,362.0,10.0,58.0,247.0,173.0,7.0,427.0,427.0,426.41
2021-12,Lincoln,10,350.0,7.0,29.0,201.0,175.0,9.0,385.0,385.0,384.87
2021-12,Lincoln,11,350.0,7.0,28.0,214.0,166.0,4.0,384.0,380.0,366.27
2021-12,Lincoln,12,170.0,1.0,14.0,108.0,76.0,1.0,185.0,168.0,159.01
2021-12,Roosevelt,9,342.0,15.0,45.0,193.0,201.0,3.0,397.0,397.0,396.79
2021-12,Roosevelt,10,343.0,9.0,35.0,183.0,197.0,4.0,384.0,384.0,381.51
2021-12,Roosevelt,11,351.0,8.0,33.0,214.0,177.0,0.0,391.0,383.0,367.39
2021-12,Roosevelt,12,366.0,12.0,28.0,212.0,190.0,2.0,404.0,376.0,345.43
2021-12,Chief Sealth International,9,215.0,55.0,66.0,174.0,133.0,5.0,312.0,312.0,311.95
2021-12,Chief Sealth International,10,223.0,55.0,55.0,168.0,140.0,2.0,310.0,310.0,306.6
2021-12,Chief Sealth International,11,229.0,62.0,49.0,169.0,158.0,2.0,329.0,288.0,256.53
