Month,School,Grade,Regular Program,Bilingual Served,Spec. Ed. Served,Male,Female,Non-Binary,Total Student Count,P223 Total Count,P223 Total FTE
2019-12,Ballard,9,356.0,4.0,52.0,219.0,190.0,2.0,411.0,411.0,409.08
2019-12,Ballard,10,380.0,8.0,46.0,234.0,199.0,0.0,433.0,433.0,428.98
2019-12,Ballard,11,435.0,10.0,59.0,270.0,229.0,1.0,500.0,482.0,450.44
2019-12,Ballard,12,449.0,15.0,37.0,261.0,236.0,1.0,498.0,453.0,398.11
2019-12,Cleveland STEM,9,195.0,18.0,28.0,122.0,107.0,1.0,230.0,230.0,230.0
2019-12,Cleveland STEM,10,204.0,15.0,14.0,133.0,98.0,0.0,231.0,231.0,231.0
2019-12,Cleveland STEM,11,181.0,25.0,25.0,109.0,113.0,0.0,222.0,210.0,170.48
2019-12,Cleveland STEM,12,196.0,16.0,24.0,126.0,105.0,0.0,231.0,195.0,165.88
2019-12,Franklin,9,223.0,41.0,31.0,130.0,149.0,0.0,279.0,279.0,278.66
2019-12,Franklin,10,218.0,77.0,34.0,137.0,176.0,0.0,313.0,313.0,312.86
2019-12,Franklin,11,240.0,65.0,43.0,156.0,171.0,0.0,327.0,319.0,283.04
2019-12,Franklin,12,212.0,65.0,26.0,141.0,155.0,0.0,296.0,266.0,234.52
2019-12,Garfield,9,343.0,27.0,41.0,201.0,201.0,0.0,402.0,402.0,400.58
2019-12,Garfield,10,371.0,31.0,40.0,234.0,198.0,1.0,433.0,433.0,431.68
2019-12,Garfield,11,440.0,27.0,30.0,232.0,255.0,0.0,487.0,444.0,376.84
2019-12,Garfield,12,411.0,26.0,23.0,218.0,235.0,0.0,453.0,354.0,303.91
2019-12,Lincoln,9,358.0,6.0,36.0,222.0,177.0,1.0,400.0,400.0,399.69
2019-12,Lincoln,10,167.0,8.0,17.0,106.0,84.0,0.0,190.0,190.0,188.5
2019-12,Roosevelt,9,364.0,4.0,49.0,223.0,192.0,1.0,416.0,416.0,415.29
2019-12,Roosevelt,10,378.0,12.0,38.0,218.0,204.0,1.0,423.0,423.0,421.18
2019-12,Roosevelt,11,489.0,8.0,30.0,262.0,262.0,1.0,525.0,500.0,460.03
2019-12,Roosevelt,12,416.0,10.0,32.0,219.0,234.0,0.0,453.0,399.0,353.39
2019-12,Chief Sealth International,9,231.0,54.0,66.0,177.0,158.0,0.0,335.0,335.0,335.0
2019-12,Chief Sealth International,10,172.0,52.0,48.0,125.0,128.0,0.0,253.0,253.0,252.77
2019-12,Chief Sealth International,11,195.0,35.0,43.0,144.0,118.0,0.0,262.0,227.0,193.43
2019-12,Chief Sealth International,12,173.0,48.0,37.0,120.0,129.0,0.0,249.0,201.0,159.65
2019-12,West Seattle,9,268.0,10.0,32.0,162.0,143.0,0.0,305.0,305.0,302.52
2019-12,West Seattle,10,220.0,11.0,33.0,132.0,126.0,0.0,258.0,258.0,257.48
