Month,School,Grade,Regular Program,Bilingual Served,Spec. Ed. Served,Male,Female,Non-Binary,Total Student Count,P223 Total Count,P223 Total FTE
2020-12,Ballard,9,359.0,10.0,50.0,207.0,206.0,3.0,416.0,416.0,415.68
2020-12,Ballard,10,363.0,4.0,48.0,222.0,190.0,2.0,414.0,414.0,411.78
2020-12,Ballard,11,381.0,9.0,39.0,228.0,199.0,1.0,428.0,403.0,383.64
2020-12,Ballard,12,435.0,9.0,48.0,259.0,229.0,2.0,490.0,428.0,388.23
2020-12,Cleveland STEM,9,190.0,25.0,23.0,113.0,117.0,1.0,231.0,231.0,230.56
2020-12,Cleveland STEM,10,203.0,16.0,24.0,126.0,107.0,1.0,234.0,234.0,233.86
2020-12,Cleveland STEM,11,209.0,13.0,14.0,137.0,97.0,0.0,234.0,216.0,178.48
2020-12,Cleveland STEM,12,189.0,20.0,19.0,110.0,113.0,0.0,223.0,186.0,148.95
2020-12,Franklin,9,217.0,60.0,30.0,148.0,147.0,1.0,296.0,296.0,296.0
2020-12,Franklin,10,231.0,46.0,25.0,133.0,156.0,1.0,290.0,290.0,289.1
2020-12,Franklin,11,223.0,83.0,30.0,149.0,174.0,0.0,323.0,306.0,274.22
2020-12,Franklin,12,235.0,75.0,40.0,153.0,180.0,0.0,333.0,305.0,270.17
2020-12,Garfield,9,351.0,22.0,40.0,204.0,200.0,4.0,408.0,408.0,408.0
2020-12,Garfield,10,356.0,23.0,38.0,204.0,204.0,1.0,409.0,409.0,407.73
2020-12,Garfield,11,359.0,33.0,38.0,231.0,188.0,2.0,421.0,392.0,336.23
2020-12,Garfield,12,444.0,28.0,30.0,239.0,250.0,1.0,490.0,415.0,348.79
2020-12,Lincoln,9,356.0,6.0,30.0,204.0,181.0,6.0,391.0,391.0,390.37
2020-12,Lincoln,10,356.0,4.0,32.0,216.0,174.0,2.0,392.0,392.0,391.18
2020-12,Lincoln,11,170.0,4.0,16.0,108.0,79.0,1.0,188.0,188.0,162.45
2020-12,Roosevelt,9,343.0,11.0,40.0,190.0,197.0,2.0,389.0,389.0,385.58
2020-12,Roosevelt,10,345.0,5.0,45.0,210.0,183.0,1.0,394.0,394.0,392.55
