Month,School,Grade,Regular Program,Bilingual Served,Spec. Ed. Served,Male,Female,Non-Binary,Total Student Count,P223 Total Count,P223 Total FTE
2024-03,Ballard,9,382.0,10.0,50.0,226.0,208.0,6.0,440.0,440.0,439.14
2024-03,Ballard,10,302.0,10.0,59.0,197.0,161.0,10.0,368.0,368.0,367.86
2024-03,Ballard,11,357.0,10.0,62.0,218.0,199.0,8.0,425.0,412.0,393.98
2024-03,Ballard,12,358.0,9.0,42.0,202.0,199.0,4.0,405.0,382.0,356.4
2024-03,Cleveland STEM,9,169.0,40.0,24.0,108.0,111.0,6.0,225.0,225.0,225.0
2024-03,Cleveland STEM,10,182.0,26.0,25.0,131.0,94.0,0.0,225.0,225.0,225.0
2024-03,Cleveland STEM,11,190.0,21.0,16.0,127.0,93.0,2.0,222.0,191.0,163.87
2024-03,Cleveland STEM,12,186.0,22.0,12.0,103.0,109.0,1.0,213.0,168.0,130.92
2024-03,Franklin,9,204.0,78.0,42.0,150.0,158.0,1.0,309.0,309.0,308.59
2024-03,Franklin,10,158.0,72.0,42.0,126.0,127.0,3.0,256.0,256.0,254.9
2024-03,Franklin,11,226.0,93.0,38.0,174.0,166.0,4.0,344.0,324.0,272.53
2024-03,Franklin,12,218.0,100.0,39.0,171.0,172.0,1.0,344.0,303.0,241.49
2024-03,Garfield,9,306.0,44.0,46.0,188.0,193.0,8.0,389.0,389.0,389.0
2024-03,Garfield,10,324.0,35.0,40.0,201.0,185.0,4.0,390.0,390.0,388.15
2024-03,Garfield,11,367.0,34.0,37.0,222.0,198.0,14.0,434.0,412.0,359.79
2024-03,Garfield,12,343.0,36.0,38.0,197.0,208.0,7.0,412.0,375.0,327.78
2024-03,Lincoln,9,376.0,8.0,44.0,230.0,188.0,9.0,427.0,427.0,424.78
2024-03,Lincoln,10,425.0,11.0,41.0,264.0,199.0,12.0,475.0,475.0,473.63
2024-03,Lincoln,11,347.0,20.0,49.0,239.0,161.0,13.0,413.0,404.0,386.68
2024-03,Lincoln,12,343.0,14.0,27.0,196.0,169.0,18.0,383.0,367.0,337.29
2024-03,Roosevelt,9,324.0,20.0,45.0,206.0,174.0,4.0,384.0,384.0,382.26
2024-03,Roosevelt,10,299.0,22.0,38.0,176.0,171.0,6.0,353.0,353.0,349.94
2024-03,Roosevelt,11,346.0,19.0,35.0,197.0,188.0,11.0,396.0,391.0,366.55
2024-03,Roosevelt,12,345.0,10.0,40.0,186.0,205.0,2.0,393.0,371.0,329.71
2024-03,Chief Sealth International,9,212.0,60.0,52.0,166.0,139.0,2.0,307.0,307.0,306.49
2024-03,Chief Sealth International,10,195.0,64.0,45.0,151.0,135.0,4.0,290.0,290.0,289.56
2024-03,Chief Sealth International,11,207.0,45.0,51.0,168.0,118.0,4.0,290.0,234.0,214.7
2024-03,Chief Sealth International,12,203.0,59.0,52.0,158.0,132.0,3.0,293.0,230.0,202.32
2024-03,West Seattle,9,291.0,16.0,59.0,203.0,155.0,2.0,360.0,360.0,358.23
2024-03,West Seattle,10,296.0,6.0,53.0,190.0,156.0,8.0,354.0,354.0,350.72
2024-03,West Seattle,11,321.0,16.0,45.0,205.0,169.0,7.0,381.0,370.0,332.35
2024-03,West Seattle,12,255.0,7.0,34.0,164.0,128.0,4.0,296.0,279.0,236.64
2024-03,Ingraham,9,248.0,38.0,69.0,179.0,151.0,9.0,339.0,339.0,338.6
2024-03,Ingraham,10,272.0,47.0,73.0,203.0,166.0,6.0,375.0,375.0,372.66
2024-03,Ingraham,11,266.0,45.0,58.0,192.0,161.0,6.0,359.0,345.0,318.93
2024-03,Ingraham,12,249.0,45.0,63.0,151.0,191.0,5.0,347.0,323.0,275.01
2024-03,Rainier Beach,9,97.0,54.0,23.0,84.0,79.0,0.0,163.0,163.0,162.9
2024-03,Rainier Beach,10,123.0,55.0,35.0,104.0,95.0,2.0,201.0,201.0,200.85
2024-03,Rainier Beach,11,125.0,43.0,24.0,99.0,90.0,0.0,189.0,172.0,152.85
2024-03,Rainier Beach,12,113.0,58.0,21.0,92.0,91.0,1.0,184.0,164.0,138.51
2024-03,Nathan Hale,9,202.0,22.0,53.0,136.0,128.0,4.0,268.0,268.0,267.05
2024-03,Nathan Hale,10,217.0,27.0,51.0,155.0,124.0,9.0,288.0,288.0,286.64
2024-03,Nathan Hale,11,195.0,29.0,50.0,140.0,119.0,7.0,266.0,249.0,227.54
2024-03,Nathan Hale,12,201.0,33.0,38.0,152.0,109.0,2.0,263.0,242.0,214.3
2024-03,NOVA,9,25.0,0.0,12.0,17.0,14.0,6.0,37.0,37.0,36.2
2024-03,NOVA,10,41.0,3.0,25.0,24.0,22.0,21.0,67.0,67.0,61.21
2024-03,NOVA,11,43.0,1.0,22.0,23.0,29.0,14.0,66.0,66.0,66.0
2024-03,NOVA,12,55.0,3.0,29.0,39.0,34.0,13.0,86.0,86.0,79.35
2024-03,Center School,9,21.0,1.0,13.0,9.0,17.0,8.0,34.0,34.0,33.6
2024-03,Center School,10,50.0,3.0,8.0,20.0,31.0,8.0,59.0,59.0,57.37
2024-03,Center School,11,22.0,1.0,14.0,13.0,21.0,3.0,37.0,33.0,29.59
2024-03,Center School,12,35.0,1.0,13.0,19.0,26.0,4.0,49.0,38.0,24.95
2024-03,Denny International,6,139.0,51.0,45.0,99.0,126.0,2.0,227.0,227.0,227.0
2024-03,Denny International,7,149.0,62.0,49.0,147.0,99.0,1.0,247.0,247.0,246.19
2024-03,Denny International,8,146.0,72.0,51.0,120.0,130.0,1.0,251.0,251.0,250.89
2024-03,Eckstein,6,306.0,19.0,56.0,204.0,167.0,2.0,373.0,373.0,372.01
2024-03,Eckstein,7,278.0,14.0,39.0,154.0,173.0,1.0,328.0,328.0,327.07
2024-03,Eckstein,8,286.0,15.0,39.0,174.0,162.0,3.0,339.0,339.0,336.06
2024-03,Hamilton International,6,265.0,10.0,43.0,156.0,160.0,2.0,318.0,318.0,317.01
2024-03,Hamilton International,7,251.0,20.0,49.0,169.0,146.0,4.0,319.0,319.0,318.04
2024-03,Hamilton International,8,243.0,11.0,28.0,152.0,120.0,7.0,279.0,279.0,278.68
2024-03,Jane Addams,6,199.0,42.0,38.0,132.0,135.0,3.0,270.0,270.0,270.0
2024-03,Jane Addams,7,191.0,44.0,59.0,148.0,130.0,5.0,283.0,283.0,281.72
2024-03,Jane Addams,8,239.0,30.0,29.0,144.0,141.0,8.0,293.0,293.0,292.77
2024-03,Madison,6,304.0,12.0,63.0,187.0,181.0,5.0,373.0,373.0,373.0
2024-03,Madison,7,270.0,21.0,51.0,159.0,172.0,5.0,336.0,336.0,335.14
2024-03,Madison,8,286.0,12.0,31.0,184.0,141.0,2.0,327.0,327.0,326.75
2024-03,Meany,6,101.0,30.0,31.0,73.0,78.0,6.0,157.0,157.0,156.02
2024-03,Meany,7,114.0,23.0,26.0,87.0,72.0,3.0,162.0,162.0,161.72
2024-03,Meany,8,117.0,32.0,19.0,86.0,76.0,3.0,165.0,165.0,164.23
2024-03,Mercer International,6,147.0,91.0,41.0,143.0,114.0,2.0,259.0,259.0,259.0
2024-03,Mercer International,7,134.0,60.0,32.0,109.0,105.0,0.0,214.0,214.0,213.1
2024-03,Mercer International,8,192.0,70.0,36.0,141.0,137.0,1.0,279.0,279.0,279.0
2024-03,Robert Eagle Staff,6,171.0,25.0,39.0,119.0,110.0,2.0,231.0,231.0,231.0
2024-03,Robert Eagle Staff,7,161.0,25.0,51.0,118.0,108.0,3.0,229.0,229.0,229.0
2024-03,Robert Eagle Staff,8,178.0,20.0,45.0,111.0,124.0,3.0,238.0,238.0,237.05
2024-03,Whitman,6,195.0,8.0,32.0,113.0,114.0,3.0,230.0,230.0,230.0
2024-03,Whitman,7,170.0,7.0,26.0,105.0,96.0,2.0,203.0,203.0,202.74
2024-03,Whitman,8,205.0,8.0,32.0,122.0,113.0,7.0,242.0,242.0,241.16
2024-03,Washington,6,128.0,41.0,30.0,98.0,84.0,6.0,188.0,188.0,188.0
2024-03,Washington,7,109.0,56.0,27.0,90.0,88.0,6.0,184.0,184.0,183.01
2024-03,Washington,8,123.0,39.0,20.0,91.0,81.0,3.0,175.0,175.0,175.0
2024-03,McClure,6,123.0,15.0,24.0,81.0,78.0,0.0,159.0,159.0,159.0
2024-03,McClure,7,117.0,15.0,21.0,83.0,69.0,0.0,152.0,152.0,151.77
2024-03,McClure,8,116.0,8.0,25.0,81.0,63.0,2.0,146.0,146.0,146.0
2024-03,Aki Kurose,6,157.0,80.0,37.0,132.0,122.0,3.0,257.0,257.0,257.0
2024-03,Aki Kurose,7,168.0,70.0,43.0,145.0,111.0,4.0,260.0,260.0,259.66
2024-03,Aki Kurose,8,185.0,72.0,42.0,156.0,132.0,2.0,290.0,290.0,288.06
2024-03,Adams,K,42.0,1.0,6.0,25.0,24.0,0.0,49.0,49.0,49.0
2024-03,Adams,1,37.0,1.0,3.0,23.0,18.0,0.0,41.0,41.0,41.0
2024-03,Adams,2,48.0,7.0,6.0,32.0,29.0,0.0,61.0,61.0,61.0
2024-03,Adams,3,35.0,3.0,3.0,20.0,21.0,0.0,41.0,41.0,41.0
2024-03,Adams,4,41.0,2.0,13.0,30.0,21.0,3.0,54.0,54.0,54.0
2024-03,Adams,5,46.0,4.0,6.0,30.0,25.0,0.0,55.0,55.0,55.0
2024-03,Alki,K,45.0,1.0,2.0,26.0,20.0,1.0,47.0,47.0,47.0
2024-03,Alki,1,34.0,4.0,2.0,22.0,18.0,0.0,40.0,40.0,40.0
2024-03,Alki,2,34.0,2.0,8.0,20.0,23.0,1.0,44.0,44.0,44.0
2024-03,Alki,3,33.0,1.0,12.0,22.0,24.0,0.0,46.0,46.0,46.0
2024-03,Alki,4,35.0,2.0,12.0,22.0,26.0,0.0,48.0,48.0,48.0
2024-03,Alki,5,33.0,1.0,11.0,29.0,16.0,0.0,45.0,45.0,45.0
2024-03,Arbor Heights,Preschool,26.0,0.0,8.0,14.0,20.0,0.0,34.0,0.0,0.0
2024-03,Arbor Heights,K,56.0,1.0,12.0,32.0,36.0,1.0,69.0,69.0,69.0
2024-03,Arbor Heights,1,68.0,4.0,11.0,40.0,43.0,0.0,83.0,83.0,83.0
2024-03,Arbor Heights,2,64.0,6.0,18.0,44.0,43.0,0.0,87.0,87.0,87.0
2024-03,Arbor Heights,3,55.0,3.0,12.0,43.0,26.0,0.0,69.0,69.0,69.0
2024-03,Arbor Heights,4,71.0,4.0,19.0,53.0,39.0,0.0,92.0,92.0,92.0
2024-03,Arbor Heights,5,65.0,7.0,14.0,33.0,51.0,0.0,84.0,84.0,84.0
