Month,School,Grade,Regular Program,Bilingual Served,Spec. Ed. Served,Male,Female,Non-Binary,Total Student Count,P223 Total Count,P223 Total FTE
2019-09,Ballard,9,354.0,4.0,49.0,217.0,188.0,1.0,406.0,406.0,405.31
2019-09,Ballard,10,383.0,7.0,45.0,237.0,197.0,0.0,434.0,434.0,430.61
2019-09,Ballard,11,434.0,11.0,57.0,271.0,228.0,0.0,499.0,485.0,455.6
2019-09,Ballard,12,447.0,14.0,41.0,261.0,237.0,1.0,499.0,464.0,409.86
2019-09,Cleveland STEM,9,192.0,18.0,27.0,120.0,106.0,0.0,226.0,226.0,225.99
2019-09,Cleveland STEM,10,198.0,14.0,14.0,131.0,93.0,0.0,224.0,224.0,224.0
2019-09,Cleveland STEM,11,174.0,24.0,26.0,107.0,108.0,0.0,215.0,203.0,164.88
2019-09,Cleveland STEM,12,200.0,16.0,23.0,128.0,106.0,0.0,234.0,200.0,168.57
2019-09,Franklin,9,227.0,41.0,29.0,131.0,151.0,0.0,282.0,282.0,282.0
2019-09,Franklin,10,212.0,71.0,31.0,133.0,166.0,0.0,299.0,299.0,298.4
2019-09,Franklin,11,239.0,64.0,47.0,154.0,173.0,0.0,327.0,318.0,286.36
2019-09,Franklin,12,202.0,57.0,27.0,134.0,146.0,0.0,280.0,267.0,226.08
2019-09,Garfield,9,345.0,21.0,39.0,200.0,197.0,0.0,397.0,397.0,396.34
2019-09,Garfield,10,371.0,26.0,39.0,234.0,193.0,1.0,428.0,428.0,427.03
2019-09,Garfield,11,440.0,22.0,28.0,229.0,251.0,0.0,480.0,417.0,377.15
2019-09,Garfield,12,421.0,23.0,23.0,222.0,238.0,0.0,460.0,340.0,304.61
2019-09,Lincoln,9,358.0,4.0,37.0,222.0,176.0,1.0,399.0,399.0,398.83
2019-09,Lincoln,10,173.0,3.0,16.0,104.0,86.0,0.0,190.0,190.0,189.11
2019-09,Roosevelt,9,369.0,4.0,44.0,223.0,193.0,0.0,416.0,416.0,415.47
2019-09,Roosevelt,10,382.0,8.0,38.0,219.0,202.0,1.0,422.0,422.0,421.18
2019-09,Roosevelt,11,491.0,5.0,31.0,269.0,257.0,0.0,526.0,504.0,465.34
2019-09,Roosevelt,12,412.0,11.0,36.0,217.0,237.0,0.0,454.0,408.0,360.7
2019-09,Chief Sealth International,9,242.0,59.0,70.0,191.0,163.0,0.0,354.0,354.0,352.81
2019-09,Chief Sealth International,10,175.0,45.0,48.0,123.0,127.0,0.0,250.0,250.0,249.5
2019-09,Chief Sealth International,11,197.0,32.0,45.0,145.0,118.0,0.0,263.0,240.0,210.76
2019-09,Chief Sealth International,12,173.0,42.0,37.0,116.0,128.0,0.0,244.0,208.0,170.98
2019-09,West Seattle,9,271.0,11.0,28.0,162.0,143.0,0.0,305.0,305.0,301.51
2019-09,West Seattle,10,216.0,12.0,36.0,132.0,125.0,0.0,257.0,257.0,256.93
2019-09,West Seattle,11,240.0,8.0,31.0,141.0,136.0,0.0,277.0,266.0,238.43
2019-09,West Seattle,12,217.0,17.0,40.0,135.0,130.0,1.0,266.0,220.0,183.09
2019-09,Ingraham,9,287.0,32.0,54.0,186.0,176.0,0.0,362.0,362.0,362.0
2019-09,Ingraham,10,315.0,30.0,34.0,193.0,181.0,0.0,374.0,374.0,372.67
2019-09,Ingraham,11,296.0,33.0,43.0,191.0,171.0,1.0,363.0,345.0,306.54
2019-09,Ingraham,12,304.0,35.0,50.0,199.0,181.0,0.0,380.0,339.0,286.09
2019-09,Rainier Beach,9,119.0,51.0,33.0,102.0,90.0,1.0,193.0,193.0,193.0
2019-09,Rainier Beach,10,116.0,51.0,40.0,112.0,80.0,0.0,192.0,192.0,191.92
2019-09,Rainier Beach,11,116.0,52.0,34.0,105.0,83.0,0.0,188.0,177.0,150.24
2019-09,Rainier Beach,12,120.0,43.0,20.0,86.0,91.0,0.0,177.0,162.0,123.65
2019-09,Nathan Hale,9,227.0,24.0,30.0,151.0,125.0,1.0,277.0,277.0,275.75
2019-09,Nathan Hale,10,246.0,28.0,42.0,165.0,143.0,1.0,309.0,309.0,306.75
2019-09,Nathan Hale,11,228.0,26.0,50.0,149.0,144.0,0.0,293.0,266.0,247.51
2019-09,Nathan Hale,12,223.0,21.0,44.0,155.0,129.0,0.0,284.0,241.0,208.29
2019-09,NOVA,9,20.0,0.0,10.0,11.0,18.0,1.0,30.0,30.0,30.0
2019-09,NOVA,10,41.0,1.0,18.0,29.0,29.0,1.0,59.0,59.0,59.0
2019-09,NOVA,11,35.0,0.0,14.0,20.0,29.0,0.0,49.0,49.0,49.0
2019-09,NOVA,12,57.0,0.0,19.0,34.0,40.0,2.0,76.0,76.0,76.0
2019-09,Center School,9,52.0,2.0,29.0,35.0,44.0,3.0,82.0,82.0,79.99
2019-09,Center School,10,53.0,0.0,16.0,26.0,42.0,1.0,69.0,69.0,65.95
2019-09,Center School,11,53.0,0.0,10.0,19.0,43.0,1.0,63.0,56.0,40.86
2019-09,Center School,12,42.0,0.0,7.0,18.0,31.0,0.0,49.0,44.0,31.91
2019-09,Denny International,6,226.0,56.0,49.0,150.0,169.0,0.0,319.0,319.0,319.0
2019-09,Denny International,7,204.0,38.0,59.0,157.0,126.0,1.0,284.0,284.0,283.32
2019-09,Denny International,8,187.0,48.0,58.0,154.0,116.0,0.0,270.0,270.0,269.8
2019-09,Eckstein,6,327.0,18.0,53.0,195.0,195.0,0.0,390.0,390.0,390.0
2019-09,Eckstein,7,324.0,10.0,51.0,193.0,187.0,0.0,380.0,380.0,379.48
2019-09,Eckstein,8,264.0,10.0,50.0,147.0,169.0,1.0,317.0,317.0,315.82
2019-09,Hamilton International,6,328.0,2.0,33.0,196.0,164.0,2.0,362.0,362.0,362.0
2019-09,Hamilton International,7,302.0,7.0,42.0,175.0,172.0,0.0,347.0,347.0,346.71
2019-09,Hamilton International,8,300.0,8.0,27.0,170.0,164.0,0.0,334.0,334.0,333.22
2019-09,Jane Addams,6,292.0,37.0,58.0,194.0,175.0,0.0,369.0,369.0,369.0
2019-09,Jane Addams,7,251.0,26.0,49.0,162.0,152.0,0.0,314.0,314.0,313.93
2019-09,Jane Addams,8,253.0,26.0,45.0,175.0,139.0,0.0,314.0,314.0,313.53
2019-09,Madison,6,287.0,6.0,48.0,173.0,164.0,0.0,337.0,337.0,337.0
2019-09,Madison,7,297.0,8.0,39.0,178.0,164.0,0.0,342.0,342.0,341.18
2019-09,Madison,8,251.0,9.0,39.0,154.0,144.0,0.0,298.0,298.0,297.93
2019-09,Meany,6,141.0,13.0,28.0,99.0,78.0,1.0,178.0,178.0,178.0
2019-09,Meany,7,146.0,4.0,28.0,89.0,87.0,1.0,177.0,177.0,176.93
2019-09,Meany,8,131.0,9.0,23.0,85.0,76.0,1.0,162.0,162.0,161.93
2019-09,Mercer International,6,267.0,66.0,44.0,200.0,154.0,0.0,354.0,354.0,354.0
2019-09,Mercer International,7,303.0,53.0,46.0,200.0,181.0,0.0,381.0,381.0,380.95
2019-09,Mercer International,8,274.0,61.0,44.0,185.0,169.0,0.0,354.0,354.0,352.98
2019-09,Robert Eagle Staff,6,201.0,19.0,30.0,118.0,123.0,0.0,241.0,241.0,241.0
2019-09,Robert Eagle Staff,7,243.0,15.0,56.0,178.0,130.0,0.0,308.0,308.0,308.0
2019-09,Robert Eagle Staff,8,210.0,19.0,39.0,123.0,139.0,0.0,262.0,262.0,261.11
2019-09,Whitman,6,182.0,7.0,40.0,113.0,115.0,0.0,228.0,228.0,228.0
2019-09,Whitman,7,166.0,7.0,35.0,109.0,96.0,0.0,205.0,205.0,204.76
2019-09,Whitman,8,170.0,7.0,30.0,106.0,99.0,0.0,205.0,205.0,204.3
2019-09,Washington,6,128.0,28.0,26.0,91.0,80.0,0.0,171.0,171.0,171.0
2019-09,Washington,7,182.0,17.0,22.0,119.0,95.0,1.0,215.0,215.0,215.0
2019-09,Washington,8,182.0,13.0,27.0,114.0,101.0,0.0,215.0,215.0,215.0
2019-09,McClure,6,140.0,7.0,32.0,84.0,91.0,0.0,175.0,175.0,175.0
2019-09,McClure,7,141.0,3.0,33.0,87.0,87.0,0.0,174.0,174.0,173.07
2019-09,McClure,8,155.0,4.0,29.0,92.0,94.0,0.0,186.0,186.0,182.62
2019-09,Aki Kurose,6,130.0,57.0,38.0,103.0,105.0,0.0,208.0,208.0,208.0
2019-09,Aki Kurose,7,164.0,46.0,39.0,127.0,111.0,0.0,238.0,238.0,238.0
2019-09,Aki Kurose,8,136.0,37.0,33.0,109.0,90.0,0.0,199.0,199.0,199.0
2019-09,Adams,K,77.0,1.0,1.0,49.0,29.0,1.0,79.0,79.0,79.0
2019-09,Adams,1,73.0,5.0,5.0,42.0,40.0,0.0,82.0,82.0,82.0
2019-09,Adams,2,60.0,4.0,6.0,36.0,34.0,0.0,70.0,70.0,70.0
2019-09,Adams,3,75.0,5.0,9.0,44.0,44.0,0.0,88.0,88.0,88.0
2019-09,Adams,4,74.0,3.0,16.0,44.0,47.0,0.0,91.0,91.0,91.0
2019-09,Adams,5,68.0,5.0,18.0,45.0,44.0,0.0,89.0,89.0,89.0
2019-09,Alki,K,55.0,0.0,2.0,27.0,30.0,0.0,57.0,57.0,57.0
2019-09,Alki,1,43.0,5.0,5.0,31.0,22.0,0.0,53.0,53.0,53.0
2019-09,Alki,2,65.0,3.0,3.0,31.0,40.0,0.0,71.0,71.0,71.0
2019-09,Alki,3,42.0,2.0,13.0,33.0,24.0,0.0,57.0,57.0,57.0
2019-09,Alki,4,42.0,1.0,6.0,24.0,25.0,0.0,49.0,49.0,49.0
2019-09,Alki,5,54.0,2.0,13.0,41.0,28.0,0.0,69.0,69.0,69.0
2019-09,Arbor Heights,Preschool,27.0,0.0,3.0,10.0,20.0,0.0,30.0,0.0,0.0
2019-09,Arbor Heights,K,81.0,3.0,8.0,48.0,43.0,1.0,92.0,92.0,92.0
2019-09,Arbor Heights,1,92.0,9.0,13.0,52.0,60.0,0.0,112.0,112.0,112.0
2019-09,Arbor Heights,2,70.0,7.0,20.0,49.0,47.0,0.0,96.0,96.0,96.0
2019-09,Arbor Heights,3,80.0,4.0,14.0,52.0,46.0,0.0,98.0,98.0,98.0
2019-09,Arbor Heights,4,60.0,6.0,17.0,40.0,41.0,0.0,81.0,81.0,81.0
2019-09,Arbor Heights,5,65.0,8.0,22.0,53.0,37.0,0.0,90.0,90.0,90.0
2019-09,Daniel Bagley,K,66.0,4.0,4.0,40.0,34.0,0.0,74.0,74.0,74.0
2019-09,Daniel Bagley,1,50.0,5.0,5.0,32.0,27.0,0.0,59.0,59.0,59.0
2019-09,Daniel Bagley,2,53.0,8.0,6.0,28.0,38.0,0.0,66.0,66.0,66.0
2019-09,Daniel Bagley,3,42.0,4.0,10.0,24.0,30.0,0.0,54.0,54.0,54.0
2019-09,Daniel Bagley,4,46.0,2.0,11.0,29.0,30.0,0.0,59.0,59.0,59.0
2019-09,Daniel Bagley,5,57.0,6.0,14.0,38.0,36.0,0.0,74.0,74.0,74.0
2019-09,Beacon Hill International,K,48.0,17.0,4.0,36.0,32.0,0.0,68.0,68.0,68.0
2019-09,Beacon Hill International,1,40.0,32.0,2.0,35.0,37.0,0.0,72.0,72.0,72.0
2019-09,Beacon Hill International,2,32.0,30.0,3.0,35.0,27.0,0.0,62.0,62.0,62.0
2019-09,Beacon Hill International,3,42.0,24.0,5.0,32.0,36.0,0.0,68.0,68.0,68.0
2019-09,Beacon Hill International,4,47.0,20.0,8.0,31.0,38.0,0.0,69.0,69.0,69.0
2019-09,Beacon Hill International,5,57.0,9.0,8.0,32.0,40.0,0.0,72.0,72.0,72.0
2019-09,Martin Luther King Jr,Preschool,33.0,0.0,11.0,20.0,24.0,0.0,44.0,0.0,0.0
2019-09,Martin Luther King Jr,K,23.0,16.0,6.0,18.0,25.0,0.0,43.0,43.0,43.0
2019-09,Martin Luther King Jr,1,22.0,22.0,5.0,25.0,22.0,0.0,47.0,47.0,47.0
2019-09,Martin Luther King Jr,2,23.0,11.0,3.0,17.0,19.0,0.0,36.0,36.0,36.0
2019-09,Martin Luther King Jr,3,31.0,17.0,7.0,29.0,20.0,0.0,49.0,49.0,49.0
2019-09,Martin Luther King Jr,4,24.0,13.0,5.0,23.0,18.0,0.0,41.0,41.0,41.0
2019-09,Martin Luther King Jr,5,26.0,15.0,10.0,20.0,25.0,0.0,45.0,45.0,45.0
2019-09,Broadview-Thomson K-8,Preschool,47.0,0.0,11.0,32.0,26.0,0.0,58.0,0.0,0.0
2019-09,Broadview-Thomson K-8,K,70.0,15.0,1.0,45.0,40.0,0.0,85.0,85.0,85.0
2019-09,Broadview-Thomson K-8,1,42.0,31.0,12.0,41.0,42.0,0.0,83.0,83.0,83.0
2019-09,Broadview-Thomson K-8,2,36.0,20.0,9.0,31.0,30.0,1.0,62.0,62.0,62.0
2019-09,Broadview-Thomson K-8,3,44.0,13.0,12.0,35.0,32.0,0.0,67.0,67.0,67.0
2019-09,Broadview-Thomson K-8,4,42.0,13.0,14.0,33.0,31.0,0.0,64.0,64.0,64.0
2019-09,Broadview-Thomson K-8,5,31.0,15.0,20.0,39.0,24.0,1.0,64.0,64.0,64.0
2019-09,Broadview-Thomson K-8,6,34.0,13.0,12.0,33.0,22.0,0.0,55.0,55.0,55.0
2019-09,Broadview-Thomson K-8,7,32.0,7.0,8.0,23.0,22.0,0.0,45.0,45.0,45.0
2019-09,Broadview-Thomson K-8,8,22.0,1.0,8.0,11.0,20.0,0.0,31.0,31.0,31.0
2019-09,Bryant,K,100.0,5.0,1.0,59.0,47.0,0.0,106.0,106.0,106.0
2019-09,Bryant,1,93.0,7.0,3.0,67.0,36.0,0.0,103.0,103.0,103.0
2019-09,Bryant,2,78.0,5.0,5.0,42.0,46.0,0.0,88.0,88.0,88.0
2019-09,Bryant,3,86.0,0.0,6.0,47.0,45.0,0.0,92.0,92.0,92.0
2019-09,Bryant,4,86.0,3.0,9.0,49.0,49.0,0.0,98.0,98.0,98.0
2019-09,Bryant,5,87.0,3.0,3.0,48.0,44.0,1.0,93.0,93.0,93.0
2019-09,Cedar Park,Preschool,35.0,0.0,0.0,15.0,20.0,0.0,35.0,0.0,0.0
2019-09,Cedar Park,K,37.0,7.0,1.0,25.0,20.0,0.0,45.0,45.0,45.0
2019-09,Cedar Park,1,38.0,4.0,2.0,25.0,19.0,0.0,44.0,44.0,44.0
2019-09,Cedar Park,2,21.0,0.0,4.0,8.0,17.0,0.0,25.0,25.0,25.0
2019-09,Cedar Park,3,11.0,0.0,1.0,5.0,7.0,0.0,12.0,12.0,12.0
2019-09,Cedar Park,4,12.0,0.0,2.0,7.0,7.0,0.0,14.0,14.0,14.0
2019-09,Cedar Park,5,4.0,0.0,1.0,5.0,0.0,0.0,5.0,5.0,5.0
2019-09,Coe,K,93.0,9.0,2.0,53.0,51.0,0.0,104.0,104.0,104.0
2019-09,Coe,1,72.0,2.0,7.0,38.0,43.0,0.0,81.0,81.0,81.0
2019-09,Coe,2,75.0,5.0,12.0,47.0,45.0,0.0,92.0,92.0,92.0
2019-09,Coe,3,80.0,1.0,14.0,48.0,47.0,0.0,95.0,95.0,95.0
2019-09,Coe,4,67.0,1.0,23.0,53.0,38.0,0.0,91.0,91.0,91.0
2019-09,Coe,5,77.0,2.0,9.0,40.0,47.0,0.0,87.0,87.0,87.0
2019-09,Thurgood Marshall,Preschool,7.0,0.0,8.0,10.0,5.0,0.0,15.0,0.0,0.0
2019-09,Thurgood Marshall,K,43.0,4.0,5.0,28.0,23.0,0.0,51.0,51.0,51.0
2019-09,Thurgood Marshall,1,42.0,13.0,10.0,36.0,26.0,0.0,62.0,62.0,62.0
2019-09,Thurgood Marshall,2,60.0,11.0,9.0,40.0,40.0,0.0,80.0,80.0,80.0
2019-09,Thurgood Marshall,3,66.0,5.0,7.0,38.0,39.0,0.0,77.0,77.0,77.0
