Month,School,Grade,Regular Program,Bilingual Served,Spec. Ed. Served,Male,Female,Non-Binary,Total Student Count,P223 Total Count,P223 Total FTE
2022-11,Ballard,9,309.0,6.0,51.0,202.0,150.0,10.0,362.0,362.0,362.0
2022-11,Ballard,10,361.0,10.0,60.0,220.0,199.0,9.0,428.0,428.0,426.58
2022-11,Ballard,11,350.0,10.0,43.0,199.0,196.0,5.0,400.0,389.0,373.49
2022-11,Ballard,12,333.0,8.0,53.0,217.0,168.0,8.0,393.0,375.0,351.29
2022-11,Cleveland STEM,9,190.0,26.0,27.0,136.0,98.0,0.0,234.0,234.0,234.0
2022-11,Cleveland STEM,10,193.0,24.0,21.0,134.0,99.0,0.0,233.0,233.0,232.1
2022-11,Cleveland STEM,11,190.0,21.0,14.0,102.0,115.0,1.0,218.0,197.0,171.05
2022-11,Cleveland STEM,12,189.0,17.0,27.0,122.0,99.0,1.0,222.0,187.0,155.93
2022-11,Franklin,9,158.0,57.0,35.0,115.0,118.0,2.0,235.0,235.0,235.0
2022-11,Franklin,10,241.0,69.0,38.0,163.0,166.0,3.0,332.0,332.0,330.05
2022-11,Franklin,11,217.0,65.0,39.0,165.0,140.0,1.0,306.0,290.0,263.1
2022-11,Franklin,12,233.0,95.0,33.0,171.0,174.0,1.0,346.0,320.0,276.98
2022-11,Garfield,9,309.0,28.0,37.0,187.0,171.0,6.0,364.0,364.0,364.0
2022-11,Garfield,10,362.0,26.0,33.0,222.0,184.0,10.0,416.0,416.0,415.21
2022-11,Garfield,11,353.0,32.0,37.0,202.0,206.0,7.0,415.0,400.0,361.52
2022-11,Garfield,12,362.0,35.0,40.0,217.0,210.0,3.0,430.0,394.0,349.98
2022-11,Lincoln,9,427.0,6.0,42.0,265.0,200.0,8.0,473.0,473.0,472.53
2022-11,Lincoln,10,358.0,13.0,47.0,242.0,165.0,8.0,415.0,415.0,413.04
2022-11,Lincoln,11,343.0,12.0,29.0,200.0,169.0,15.0,384.0,379.0,363.15
2022-11,Lincoln,12,336.0,9.0,35.0,212.0,162.0,5.0,379.0,366.0,352.34
2022-11,Roosevelt,9,307.0,18.0,46.0,176.0,183.0,3.0,362.0,362.0,360.69
2022-11,Roosevelt,10,340.0,18.0,38.0,195.0,188.0,8.0,391.0,391.0,387.9
2022-11,Roosevelt,11,348.0,11.0,35.0,185.0,202.0,3.0,390.0,380.0,349.71
2022-11,Roosevelt,12,348.0,7.0,36.0,211.0,177.0,2.0,390.0,369.0,343.58
2022-11,Chief Sealth International,9,210.0,64.0,54.0,150.0,158.0,4.0,312.0,312.0,312.0
2022-11,Chief Sealth International,10,214.0,57.0,59.0,180.0,130.0,3.0,313.0,313.0,312.86
2022-11,Chief Sealth International,11,210.0,64.0,59.0,166.0,140.0,3.0,309.0,271.0,242.75
2022-11,Chief Sealth International,12,234.0,74.0,51.0,176.0,169.0,3.0,348.0,279.0,250.2
2022-11,West Seattle,9,293.0,4.0,59.0,181.0,164.0,9.0,354.0,354.0,354.0
2022-11,West Seattle,10,313.0,12.0,47.0,199.0,166.0,6.0,371.0,371.0,368.42
2022-11,West Seattle,11,253.0,10.0,33.0,167.0,123.0,5.0,295.0,291.0,277.91
2022-11,West Seattle,12,273.0,12.0,29.0,164.0,140.0,4.0,308.0,278.0,244.68
