Month,School,Grade,Regular Program,Bilingual Served,Spec. Ed. Served,Male,Female,Non-Binary,Total Student Count,P223 Total Count,P223 Total FTE
2023-09,Ballard,9,374.0,7.0,57.0,226.0,203.0,6.0,435.0,435.0,431.34
2023-09,Ballard,10,318.0,7.0,52.0,203.0,159.0,12.0,374.0,374.0,373.85
2023-09,Ballard,11,354.0,8.0,62.0,216.0,197.0,8.0,421.0,412.0,391.63
2023-09,Ballard,12,355.0,9.0,44.0,202.0,199.0,3.0,404.0,381.0,352.91
2023-09,Cleveland STEM,9,167.0,43.0,24.0,110.0,110.0,5.0,225.0,225.0,225.0
2023-09,Cleveland STEM,10,185.0,26.0,28.0,133.0,96.0,0.0,229.0,229.0,229.0
2023-09,Cleveland STEM,11,191.0,23.0,16.0,129.0,95.0,1.0,225.0,222.0,169.26
2023-09,Cleveland STEM,12,182.0,21.0,13.0,100.0,107.0,1.0,208.0,205.0,135.5
2023-09,Franklin,9,219.0,78.0,47.0,159.0,165.0,2.0,326.0,326.0,326.0
2023-09,Franklin,10,159.0,69.0,39.0,120.0,129.0,2.0,251.0,251.0,250.15
2023-09,Franklin,11,233.0,79.0,38.0,168.0,165.0,3.0,336.0,320.0,276.47
2023-09,Franklin,12,215.0,98.0,43.0,176.0,162.0,1.0,339.0,307.0,261.57
2023-09,Garfield,9,321.0,36.0,42.0,197.0,189.0,8.0,394.0,394.0,394.0
2023-09,Garfield,10,321.0,30.0,43.0,198.0,180.0,6.0,384.0,384.0,383.59
2023-09,Garfield,11,376.0,25.0,32.0,226.0,190.0,12.0,428.0,410.0,355.4
2023-09,Garfield,12,349.0,33.0,42.0,202.0,209.0,7.0,418.0,379.0,335.84
2023-09,Lincoln,9,372.0,7.0,40.0,221.0,186.0,10.0,417.0,417.0,414.85
2023-09,Lincoln,10,425.0,6.0,45.0,269.0,198.0,7.0,474.0,474.0,473.57
2023-09,Lincoln,11,355.0,14.0,47.0,239.0,165.0,10.0,414.0,408.0,390.37
2023-09,Lincoln,12,348.0,12.0,27.0,199.0,170.0,17.0,386.0,373.0,344.31
2023-09,Roosevelt,9,327.0,10.0,42.0,196.0,175.0,6.0,377.0,377.0,375.7
2023-09,Roosevelt,10,296.0,18.0,42.0,172.0,172.0,4.0,348.0,348.0,344.63
2023-09,Roosevelt,11,347.0,14.0,37.0,192.0,193.0,9.0,394.0,389.0,362.75
2023-09,Roosevelt,12,349.0,9.0,44.0,192.0,205.0,2.0,399.0,378.0,336.57
2023-09,Chief Sealth International,9,206.0,59.0,54.0,165.0,135.0,1.0,301.0,301.0,301.0
2023-09,Chief Sealth International,10,198.0,56.0,45.0,142.0,139.0,4.0,285.0,285.0,284.48
2023-09,Chief Sealth International,11,214.0,43.0,52.0,166.0,125.0,4.0,295.0,247.0,221.93
2023-09,Chief Sealth International,12,199.0,55.0,52.0,161.0,124.0,2.0,287.0,223.0,200.67
2023-09,West Seattle,9,302.0,14.0,58.0,207.0,157.0,4.0,368.0,368.0,365.89
2023-09,West Seattle,10,300.0,5.0,51.0,187.0,160.0,8.0,355.0,355.0,353.87
