Month,School,Grade,Regular Program,Bilingual Served,Spec. Ed. Served,Male,Female,Non-Binary,Total Student Count,P223 Total Count,P223 Total FTE
2022-04,Ballard,9,376.0,9.0,50.0,229.0,200.0,4.0,433.0,433.0,431.72
2022-04,Ballard,10,346.0,10.0,45.0,197.0,197.0,4.0,398.0,398.0,397.04
2022-04,Ballard,11,337.0,6.0,49.0,217.0,171.0,3.0,391.0,381.0,368.5
2022-04,Ballard,12,372.0,8.0,41.0,224.0,190.0,5.0,419.0,392.0,364.45
2022-04,Cleveland STEM,9,187.0,28.0,20.0,131.0,99.0,0.0,230.0,230.0,229.86
2022-04,Cleveland STEM,10,188.0,22.0,17.0,105.0,115.0,1.0,221.0,221.0,221.0
2022-04,Cleveland STEM,11,188.0,16.0,28.0,122.0,98.0,1.0,221.0,207.0,185.85
2022-04,Cleveland STEM,12,198.0,14.0,15.0,129.0,95.0,0.0,224.0,192.0,161.88
2022-04,Franklin,9,236.0,63.0,45.0,170.0,150.0,3.0,323.0,323.0,322.59
2022-04,Franklin,10,210.0,59.0,36.0,156.0,133.0,1.0,290.0,290.0,289.92
2022-04,Franklin,11,231.0,57.0,29.0,147.0,155.0,1.0,303.0,296.0,253.93
2022-04,Franklin,12,222.0,101.0,29.0,165.0,173.0,0.0,338.0,317.0,254.06
2022-04,Garfield,9,352.0,21.0,35.0,208.0,188.0,8.0,404.0,404.0,404.0
2022-04,Garfield,10,336.0,22.0,32.0,193.0,188.0,4.0,385.0,385.0,383.76
2022-04,Garfield,11,351.0,28.0,39.0,201.0,208.0,1.0,410.0,395.0,357.75
2022-04,Garfield,12,346.0,38.0,26.0,215.0,185.0,2.0,402.0,364.0,304.27
2022-04,Lincoln,9,360.0,11.0,54.0,242.0,171.0,8.0,421.0,421.0,420.29
2022-04,Lincoln,10,344.0,8.0,29.0,199.0,173.0,8.0,380.0,380.0,379.56
2022-04,Lincoln,11,337.0,7.0,32.0,207.0,164.0,4.0,375.0,370.0,357.47
2022-04,Lincoln,12,166.0,2.0,14.0,105.0,75.0,2.0,182.0,171.0,159.27
2022-04,Roosevelt,9,344.0,15.0,45.0,198.0,199.0,3.0,400.0,400.0,399.79
2022-04,Roosevelt,10,340.0,9.0,33.0,182.0,191.0,4.0,377.0,377.0,374.3
2022-04,Roosevelt,11,342.0,8.0,30.0,205.0,174.0,0.0,379.0,372.0,352.96
2022-04,Roosevelt,12,359.0,12.0,25.0,207.0,185.0,2.0,394.0,370.0,337.51
2022-04,Chief Sealth International,9,217.0,52.0,60.0,173.0,132.0,5.0,310.0,310.0,310.0
2022-04,Chief Sealth International,10,206.0,55.0,52.0,160.0,130.0,2.0,292.0,292.0,291.51
2022-04,Chief Sealth International,11,220.0,62.0,48.0,164.0,153.0,3.0,320.0,276.0,252.12
2022-04,Chief Sealth International,12,157.0,51.0,42.0,119.0,116.0,0.0,235.0,201.0,174.28
2022-04,West Seattle,9,306.0,10.0,45.0,196.0,161.0,3.0,360.0,360.0,358.93
2022-04,West Seattle,10,245.0,9.0,29.0,153.0,125.0,4.0,282.0,282.0,280.5
2022-04,West Seattle,11,254.0,11.0,28.0,157.0,126.0,5.0,288.0,277.0,254.64
2022-04,West Seattle,12,208.0,13.0,35.0,128.0,121.0,0.0,249.0,229.0,191.72
2022-04,Ingraham,9,283.0,38.0,58.0,189.0,174.0,4.0,367.0,367.0,366.09
2022-04,Ingraham,10,263.0,29.0,62.0,147.0,193.0,5.0,345.0,345.0,343.8
2022-04,Ingraham,11,258.0,33.0,49.0,178.0,150.0,3.0,331.0,320.0,293.77
2022-04,Ingraham,12,298.0,42.0,36.0,191.0,174.0,5.0,370.0,352.0,292.3
2022-04,Rainier Beach,9,130.0,45.0,26.0,101.0,94.0,0.0,195.0,195.0,194.74
2022-04,Rainier Beach,10,112.0,44.0,17.0,80.0,85.0,1.0,166.0,166.0,164.77
2022-04,Rainier Beach,11,127.0,59.0,26.0,109.0,94.0,0.0,203.0,203.0,177.81
2022-04,Rainier Beach,12,123.0,65.0,32.0,111.0,98.0,0.0,209.0,209.0,148.45
2022-04,Nathan Hale,9,193.0,24.0,55.0,144.0,112.0,5.0,261.0,261.0,260.61
2022-04,Nathan Hale,10,202.0,24.0,43.0,143.0,115.0,2.0,260.0,260.0,259.28
2022-04,Nathan Hale,11,220.0,20.0,24.0,135.0,125.0,2.0,262.0,254.0,234.08
2022-04,Nathan Hale,12,244.0,24.0,33.0,156.0,139.0,2.0,297.0,270.0,231.59
2022-04,NOVA,9,44.0,0.0,12.0,21.0,29.0,6.0,56.0,56.0,54.12
2022-04,NOVA,10,51.0,1.0,15.0,22.0,32.0,13.0,67.0,67.0,65.08
