Month,School,Grade,Regular Program,Bilingual Served,Spec. Ed. Served,Male,Female,Non-Binary,Total Student Count,P223 Total Count,P223 Total FTE
2020-10,Ballard,9,361.0,10.0,49.0,206.0,209.0,2.0,417.0,417.0,416.68
2020-10,Ballard,10,362.0,4.0,52.0,223.0,192.0,2.0,417.0,417.0,414.9
2020-10,Ballard,11,379.0,9.0,42.0,228.0,200.0,1.0,429.0,404.0,384.28
2020-10,Ballard,12,431.0,9.0,55.0,261.0,230.0,2.0,493.0,431.0,391.46
2020-10,Cleveland STEM,9,189.0,25.0,22.0,112.0,116.0,1.0,229.0,229.0,228.56
2020-10,Cleveland STEM,10,201.0,16.0,27.0,126.0,107.0,1.0,234.0,234.0,233.92
2020-10,Cleveland STEM,11,210.0,13.0,14.0,137.0,98.0,0.0,235.0,218.0,178.81
2020-10,Cleveland STEM,12,188.0,20.0,22.0,110.0,113.0,0.0,223.0,186.0,148.45
2020-10,Franklin,9,217.0,60.0,36.0,149.0,146.0,1.0,296.0,296.0,296.0
2020-10,Franklin,10,228.0,47.0,28.0,132.0,156.0,1.0,289.0,289.0,287.63
2020-10,Franklin,11,221.0,84.0,34.0,149.0,176.0,0.0,325.0,306.0,275.9
2020-10,Franklin,12,232.0,77.0,37.0,154.0,178.0,0.0,332.0,305.0,269.24
2020-10,Garfield,9,357.0,23.0,39.0,207.0,203.0,3.0,413.0,413.0,412.89
2020-10,Garfield,10,355.0,23.0,40.0,202.0,207.0,1.0,410.0,410.0,409.99
2020-10,Garfield,11,359.0,32.0,40.0,230.0,190.0,2.0,422.0,395.0,341.53
2020-10,Garfield,12,441.0,27.0,28.0,234.0,251.0,1.0,486.0,415.0,345.11
2020-10,Lincoln,9,360.0,6.0,33.0,207.0,185.0,6.0,398.0,398.0,397.33
2020-10,Lincoln,10,357.0,4.0,33.0,217.0,175.0,2.0,394.0,394.0,391.13
2020-10,Lincoln,11,169.0,4.0,16.0,108.0,78.0,1.0,187.0,187.0,159.7
2020-10,Roosevelt,9,343.0,10.0,41.0,190.0,197.0,2.0,389.0,389.0,386.07
2020-10,Roosevelt,10,347.0,5.0,44.0,210.0,184.0,1.0,395.0,395.0,393.71
2020-10,Roosevelt,11,371.0,9.0,37.0,216.0,194.0,3.0,413.0,400.0,366.05
2020-10,Roosevelt,12,476.0,10.0,30.0,253.0,259.0,2.0,514.0,449.0,401.91
2020-10,Chief Sealth International,9,223.0,59.0,61.0,172.0,147.0,1.0,320.0,320.0,319.65
2020-10,Chief Sealth International,10,230.0,56.0,58.0,168.0,163.0,0.0,331.0,331.0,330.88
2020-10,Chief Sealth International,11,167.0,49.0,43.0,121.0,121.0,0.0,242.0,215.0,180.19
2020-10,Chief Sealth International,12,199.0,34.0,40.0,146.0,118.0,0.0,264.0,207.0,180.81
2020-10,West Seattle,9,247.0,11.0,34.0,158.0,132.0,0.0,290.0,290.0,289.02
2020-10,West Seattle,10,265.0,12.0,33.0,166.0,139.0,0.0,305.0,305.0,303.3
2020-10,West Seattle,11,224.0,13.0,31.0,130.0,131.0,0.0,261.0,247.0,221.22
2020-10,West Seattle,12,241.0,9.0,40.0,141.0,146.0,0.0,287.0,246.0,214.57
2020-10,Ingraham,9,294.0,30.0,56.0,156.0,216.0,1.0,373.0,373.0,372.35
2020-10,Ingraham,10,290.0,32.0,52.0,194.0,169.0,0.0,363.0,363.0,359.42
2020-10,Ingraham,11,308.0,40.0,33.0,198.0,177.0,2.0,377.0,365.0,326.11
2020-10,Ingraham,12,302.0,36.0,44.0,193.0,175.0,2.0,370.0,326.0,268.64
2020-10,Rainier Beach,9,131.0,47.0,31.0,96.0,101.0,0.0,197.0,197.0,197.0
2020-10,Rainier Beach,10,122.0,60.0,33.0,110.0,94.0,0.0,204.0,204.0,204.0
2020-10,Rainier Beach,11,124.0,51.0,31.0,108.0,86.0,0.0,194.0,194.0,158.28
2020-10,Rainier Beach,12,114.0,56.0,35.0,106.0,86.0,0.0,192.0,192.0,151.3
