Month,School,Grade,Regular Program,Bilingual Served,Spec. Ed. Served,Male,Female,Non-Binary,Total Student Count,P223 Total Count,P223 Total FTE
2021-01,Ballard,9,358.0,10.0,49.0,207.0,205.0,3.0,415.0,415.0,414.68
2021-01,Ballard,10,362.0,4.0,49.0,222.0,190.0,2.0,414.0,414.0,411.64
2021-01,Ballard,11,378.0,9.0,39.0,225.0,199.0,1.0,425.0,402.0,382.52
2021-01,Ballard,12,428.0,9.0,48.0,255.0,226.0,2.0,483.0,429.0,388.3
2021-01,Cleveland STEM,9,190.0,25.0,23.0,113.0,117.0,1.0,231.0,231.0,230.56
2021-01,Cleveland STEM,10,202.0,16.0,26.0,126.0,107.0,1.0,234.0,234.0,233.86
2021-01,Cleveland STEM,11,211.0,13.0,13.0,137.0,98.0,0.0,235.0,216.0,178.48
2021-01,Cleveland STEM,12,188.0,20.0,19.0,109.0,113.0,0.0,222.0,186.0,149.08
2021-01,Franklin,9,218.0,60.0,28.0,148.0,147.0,1.0,296.0,296.0,296.0
2021-01,Franklin,10,227.0,45.0,29.0,131.0,154.0,1.0,286.0,286.0,285.1
2021-01,Franklin,11,221.0,83.0,32.0,148.0,174.0,0.0,322.0,305.0,272.76
2021-01,Franklin,12,228.0,76.0,41.0,149.0,178.0,0.0,327.0,306.0,270.08
2021-01,Garfield,9,351.0,22.0,41.0,204.0,201.0,4.0,409.0,409.0,409.0
2021-01,Garfield,10,355.0,23.0,39.0,203.0,205.0,1.0,409.0,409.0,406.79
2021-01,Garfield,11,359.0,33.0,38.0,231.0,188.0,2.0,421.0,393.0,337.12
2021-01,Garfield,12,433.0,28.0,29.0,232.0,246.0,1.0,479.0,413.0,348.34
2021-01,Lincoln,9,356.0,6.0,30.0,204.0,181.0,6.0,391.0,391.0,390.37
2021-01,Lincoln,10,357.0,4.0,31.0,216.0,174.0,2.0,392.0,392.0,391.08
2021-01,Lincoln,11,170.0,4.0,16.0,108.0,79.0,1.0,188.0,188.0,162.65
2021-01,Roosevelt,9,344.0,11.0,36.0,189.0,196.0,2.0,387.0,387.0,383.23
2021-01,Roosevelt,10,344.0,5.0,45.0,210.0,182.0,1.0,393.0,393.0,391.55
2021-01,Roosevelt,11,373.0,9.0,32.0,216.0,191.0,3.0,410.0,398.0,365.12
2021-01,Roosevelt,12,466.0,8.0,26.0,244.0,250.0,4.0,498.0,443.0,399.65
2021-01,Chief Sealth International,9,224.0,58.0,61.0,172.0,146.0,1.0,319.0,319.0,318.77
2021-01,Chief Sealth International,10,231.0,55.0,57.0,168.0,164.0,0.0,332.0,332.0,330.88
2021-01,Chief Sealth International,11,168.0,50.0,41.0,120.0,121.0,1.0,242.0,214.0,180.58
2021-01,Chief Sealth International,12,191.0,32.0,42.0,141.0,115.0,0.0,256.0,201.0,176.86
2021-01,West Seattle,9,242.0,11.0,38.0,157.0,132.0,0.0,289.0,289.0,288.88
2021-01,West Seattle,10,263.0,12.0,32.0,166.0,134.0,1.0,301.0,301.0,300.06
2021-01,West Seattle,11,219.0,13.0,31.0,132.0,124.0,0.0,256.0,246.0,217.3
2021-01,West Seattle,12,232.0,9.0,40.0,137.0,141.0,0.0,278.0,240.0,208.16
2021-01,Ingraham,9,288.0,30.0,62.0,156.0,214.0,1.0,371.0,371.0,369.98
2021-01,Ingraham,10,289.0,32.0,53.0,194.0,169.0,0.0,363.0,363.0,360.19
2021-01,Ingraham,11,306.0,37.0,33.0,195.0,175.0,2.0,372.0,360.0,322.25
2021-01,Ingraham,12,295.0,32.0,46.0,185.0,174.0,2.0,361.0,322.0,261.2
2021-01,Rainier Beach,9,127.0,49.0,23.0,92.0,100.0,0.0,192.0,192.0,192.0
2021-01,Rainier Beach,10,123.0,61.0,31.0,110.0,94.0,0.0,204.0,204.0,203.96
2021-01,Rainier Beach,11,122.0,53.0,30.0,106.0,88.0,0.0,194.0,184.0,158.29
2021-01,Rainier Beach,12,115.0,54.0,31.0,105.0,84.0,0.0,189.0,171.0,146.41
2021-01,Nathan Hale,9,209.0,28.0,49.0,148.0,125.0,2.0,275.0,275.0,273.65
2021-01,Nathan Hale,10,217.0,24.0,31.0,142.0,124.0,2.0,268.0,268.0,266.22
2021-01,Nathan Hale,11,246.0,19.0,34.0,156.0,137.0,2.0,295.0,274.0,253.28
2021-01,Nathan Hale,12,230.0,25.0,40.0,146.0,142.0,0.0,288.0,251.0,221.51
2021-01,NOVA,9,27.0,3.0,14.0,19.0,21.0,3.0,43.0,43.0,43.0
2021-01,NOVA,10,39.0,0.0,9.0,18.0,27.0,3.0,48.0,48.0,48.0
