Month,School,Grade,Regular Program,Bilingual Served,Spec. Ed. Served,Male,Female,Non-Binary,Total Student Count,P223 Total Count,P223 Total FTE
2019-10,Ballard,9,357.0,4.0,49.0,216.0,191.0,2.0,409.0,409.0,407.78
2019-10,Ballard,10,385.0,8.0,46.0,238.0,200.0,0.0,438.0,438.0,434.4
2019-10,Ballard,11,434.0,10.0,57.0,268.0,229.0,0.0,497.0,479.0,448.26
2019-10,Ballard,12,447.0,15.0,40.0,263.0,235.0,1.0,499.0,455.0,403.01
2019-10,Cleveland STEM,9,197.0,17.0,26.0,121.0,109.0,0.0,230.0,230.0,230.0
2019-10,Cleveland STEM,10,204.0,15.0,14.0,133.0,98.0,0.0,231.0,231.0,231.0
2019-10,Cleveland STEM,11,182.0,24.0,25.0,109.0,113.0,0.0,222.0,209.0,170.35
2019-10,Cleveland STEM,12,199.0,16.0,23.0,127.0,106.0,0.0,233.0,197.0,168.09
2019-10,Franklin,9,229.0,41.0,31.0,131.0,154.0,0.0,285.0,285.0,285.0
2019-10,Franklin,10,222.0,73.0,34.0,140.0,173.0,0.0,313.0,313.0,312.93
2019-10,Franklin,11,243.0,66.0,47.0,158.0,176.0,0.0,334.0,325.0,290.37
2019-10,Franklin,12,212.0,64.0,29.0,141.0,157.0,0.0,298.0,271.0,237.05
2019-10,Garfield,9,346.0,23.0,38.0,202.0,197.0,0.0,399.0,399.0,398.34
2019-10,Garfield,10,375.0,29.0,40.0,237.0,198.0,1.0,436.0,436.0,434.51
2019-10,Garfield,11,443.0,22.0,29.0,233.0,251.0,0.0,484.0,442.0,378.06
2019-10,Garfield,12,412.0,26.0,24.0,218.0,237.0,0.0,455.0,355.0,304.91
2019-10,Lincoln,9,358.0,4.0,38.0,223.0,176.0,1.0,400.0,400.0,399.76
2019-10,Lincoln,10,173.0,3.0,16.0,104.0,86.0,0.0,190.0,190.0,189.64
2019-10,Roosevelt,9,366.0,5.0,47.0,224.0,192.0,1.0,417.0,417.0,416.23
2019-10,Roosevelt,10,380.0,8.0,37.0,218.0,201.0,1.0,420.0,420.0,418.97
2019-10,Roosevelt,11,493.0,7.0,29.0,264.0,262.0,1.0,527.0,501.0,463.57
2019-10,Roosevelt,12,415.0,11.0,36.0,218.0,239.0,0.0,457.0,403.0,358.11
2019-10,Chief Sealth International,9,226.0,52.0,65.0,172.0,155.0,0.0,327.0,327.0,327.0
2019-10,Chief Sealth International,10,176.0,45.0,48.0,124.0,127.0,0.0,251.0,251.0,251.0
2019-10,Chief Sealth International,11,195.0,33.0,44.0,144.0,117.0,0.0,261.0,229.0,195.4
2019-10,Chief Sealth International,12,175.0,45.0,37.0,117.0,131.0,0.0,248.0,201.0,161.67
2019-10,West Seattle,9,269.0,10.0,28.0,160.0,142.0,0.0,302.0,302.0,300.36
2019-10,West Seattle,10,221.0,12.0,35.0,133.0,128.0,0.0,261.0,261.0,260.67
2019-10,West Seattle,11,244.0,8.0,34.0,144.0,140.0,0.0,284.0,267.0,238.17
2019-10,West Seattle,12,220.0,18.0,42.0,137.0,134.0,1.0,272.0,220.0,184.65
2019-10,Ingraham,9,289.0,35.0,55.0,188.0,179.0,0.0,367.0,367.0,366.48
2019-10,Ingraham,10,312.0,34.0,35.0,193.0,182.0,0.0,375.0,375.0,374.03
2019-10,Ingraham,11,299.0,33.0,43.0,195.0,170.0,1.0,366.0,347.0,305.94
2019-10,Ingraham,12,302.0,37.0,53.0,204.0,178.0,0.0,382.0,344.0,294.17
2019-10,Rainier Beach,9,122.0,57.0,36.0,111.0,91.0,1.0,203.0,203.0,203.0
2019-10,Rainier Beach,10,116.0,47.0,40.0,107.0,81.0,0.0,188.0,188.0,188.0
2019-10,Rainier Beach,11,111.0,51.0,37.0,107.0,78.0,0.0,185.0,173.0,144.44
2019-10,Rainier Beach,12,121.0,43.0,20.0,84.0,93.0,0.0,177.0,153.0,122.98
2019-10,Nathan Hale,9,225.0,25.0,31.0,152.0,124.0,1.0,277.0,277.0,275.62
2019-10,Nathan Hale,10,244.0,29.0,42.0,164.0,143.0,1.0,308.0,308.0,306.95
2019-10,Nathan Hale,11,227.0,28.0,51.0,149.0,146.0,0.0,295.0,270.0,245.31
2019-10,Nathan Hale,12,222.0,21.0,41.0,153.0,126.0,0.0,279.0,240.0,208.3
2019-10,NOVA,9,20.0,0.0,10.0,13.0,16.0,1.0,30.0,30.0,30.0
2019-10,NOVA,10,42.0,1.0,20.0,30.0,31.0,1.0,62.0,62.0,62.0
2019-10,NOVA,11,35.0,0.0,13.0,18.0,30.0,0.0,48.0,48.0,48.0
2019-10,NOVA,12,53.0,0.0,19.0,34.0,36.0,2.0,72.0,72.0,70.24
2019-10,Center School,9,51.0,2.0,27.0,35.0,41.0,3.0,79.0,79.0,78.55
2019-10,Center School,10,49.0,0.0,15.0,24.0,38.0,2.0,64.0,64.0,62.73
2019-10,Center School,11,52.0,0.0,9.0,19.0,41.0,1.0,61.0,54.0,40.03
2019-10,Center School,12,43.0,0.0,7.0,18.0,32.0,0.0,50.0,45.0,32.52
2019-10,Denny International,6,196.0,53.0,48.0,137.0,148.0,0.0,285.0,285.0,285.0
2019-10,Denny International,7,194.0,39.0,61.0,152.0,123.0,1.0,276.0,276.0,275.95
2019-10,Denny International,8,191.0,52.0,59.0,159.0,119.0,0.0,278.0,278.0,277.8
2019-10,Eckstein,6,325.0,19.0,55.0,196.0,195.0,0.0,391.0,391.0,391.0
2019-10,Eckstein,7,320.0,12.0,51.0,192.0,186.0,0.0,378.0,378.0,377.48
2019-10,Eckstein,8,266.0,12.0,49.0,149.0,170.0,1.0,320.0,320.0,318.9
2019-10,Hamilton International,6,326.0,3.0,35.0,198.0,163.0,2.0,363.0,363.0,363.0
2019-10,Hamilton International,7,303.0,7.0,43.0,175.0,174.0,0.0,349.0,349.0,348.71
2019-10,Hamilton International,8,301.0,8.0,27.0,170.0,165.0,0.0,335.0,335.0,333.73
2019-10,Jane Addams,6,289.0,40.0,59.0,196.0,174.0,0.0,370.0,370.0,370.0
